joist	SKWROEUFT
joust	SKWROUFT
gist	SKWREUFT
jest	SKWREFT
just	SKWRUFT
swift	SWEUFT
shaft	SHAFT
shift	SHEUFT
vast	SRAFT
vest	SREFT
soft	SOFT
sift	SEUFT
graft	TKPWRAFT
ghost	TKPWOEFT
gift	TKPWEUFT
guest	TKPWEFT
gust	TKPWUFT
draft	TKRAFT
drift	TKREUFT
daft	TKAFT
deft	TKEFT
dust	TKUFT
nest	TPHEFT
frost	TPROFT
feast	TPAOEFT
fast	TPAFT
foist	TPOEUFT
fist	TPEUFT
fest	TPEFT
twist	TWEUFT
thrift	THREUFT
thrust	THRUFT
theft	THEFT
trust	TRUFT
taste	TAEUFT
toast	TOEFT
test	TEFT
yeast	KWHAOEFT
quest	KWEFT
cleft	KHREFT
chest	KHEFT
craft	KRAFT
crest	KREFT
crust	KRUFT
cast	KAFT
coast	KOEFT
cost	KOFT
cust	KUFT
blast	PWHRAFT
blest	PWHREFT
breast	PWREFT
beast	PWAOEFT
boost	PWAOFT
boast	PWOEFT
best	PWEFT
bust	PWUFT
mast	PHAFT
moist	PHOEUFT
most	PHOEFT
mist	PHEUFT
must	PHUFT
priest	PRAOEFT
paste	PAEUFT
past	PAFT
post	POEFT
pest	PEFT
wrist	WREUFT
wrest	WREFT
waist	WAEUFT
waste	WAEFT
waft	WAUFT
wist	WEUFT
west	WEFT
least	HRAOEFT
last	HRAFT
loft	HROFT
lift	HREUFT
left	HREFT
lust	HRUFT
heist	HAOEUFT
haste	HAEUFT
hoist	HOEUFT
host	HOEFT
heft	HEFT
roost	RAOFT
raft	RAFT
roast	ROEFT
rift	REUFT
rest	REFT
rust	RUFT
east	AOEFT
aft	AFT
oust	OUFT
disk	TKEUFBG
desk	TKEFBG
dusk	TKUFBG
flask	TPHRAFBG
frisk	TPREUFBG
task	TAFBG
tusk	TUFBG
cask	KAFBG
brisk	PWREUFBG
bask	PWAFBG
bisque	PWEUFBG
mask	PHAFBG
mosque	PHOFBG
misc	PHEUFBG
musk	PHUFBG
husk	HUFBG
risk	REUFBG
ask	AFBG
spasm	SPAFPL
schism	SHEUFPL
chasm	KAFPL
blossom	PWHROFPL
bosom	PWOFPL
plasm	PHRAFPL
prism	PREUFPL

