spinal	SPAOEUPB/KWRAL
spousal	SPOUS/KWRAL
global	TKPWHROEB/KWRAL
floral	TPHROR/KWRAL
national	TPHAGS/KWRAL
normal	TPHORPL/KWRAL
fractional	TPRABGS/KWRAL
frontal	TPROPBT/KWRAL
formal	TPORPL/KWRAL
fictional	TP*EUBGS/KWRAL
tribal	TRAOEUB/KWRAL
tidal	TAOEUD/KWRAL
tonal	TOEPB/KWRAL
sealant	SAOEL/KWRAPBT
servant	SEFRB/KWRAPBT
coolant	KAOL/KWRAPBT
festive	TPEFT/KWREUF
tensive	TEPBS/KWREUF
massive	PHAS/KWREUF
active	ABGT/KWREUF
truism	TRAOU/KWREUFPL
tourism	TAOUR/KWREUFPL
cubism	KAOUB/KWREUFPL
racism	RAEUS/KWREUFPL
realism	RAEL/KWREUFPL
scopist	SKOEP/KWREUFT
typist	TAOEUP/KWREUFT
tourist	TAOUR/KWREUFT
purist	PAOUR/KWREUFT
leftist	HREFT/KWREUFT
realist	RAEL/KWREUFT
artist	ART/KWREUFT
therein	THR/KWREUPB
plugin	PHRUG/KWREUPB
login	HROG/KWREUPB
herein	HAOER/KWREUPB
graphic	TKPWRAF/KWREUBG
cubic	KAOUB/KWREUBG
basic	PWAEUS/KWREUBG
straighten	STRAEUT/KWREPB
strengthen	STR*EPBGT/KWREPB
fallen	TPAUL/KWREPB
fatten	TPAT/KWREPB
threaten	THRET/KWREPB
thicken	THEUBG/KWREPB
tighten	TAOEUT/KWREPB
taken	TAEUBG/KWREPB
toughen	TUF/KWREPB
quicken	KWEUBG/KWREPB
blacken	PWHRABG/KWREPB
broaden	PWRAOD/KWREPB
brazen	PWRAEUZ/KWREPB
beaten	PWAOET/KWREPB
bitten	PWEUT/KWREPB
madden	PHAD/KWREPB
moisten	PHOEUFT/KWREPB
molten	PHOELT/KWREPB
pantheon	PA*PBT/KWREPB
written	WREUT/KWREPB
widen	WAOEUD/KWREPB
wooden	WAOD/KWREPB
waken	WAEUBG/KWREPB
weaken	WAEBG/KWREPB
warden	WARD/KWREPB
woken	WOEBG/KWREPB
worsen	WORS/KWREPB
liken	HRAOEUBG/KWREPB
lighten	HRAOEUT/KWREPB
loosen	HRAOS/KWREPB
lengthen	HR*EPBG/KWREPB
lessen	HRES/KWREPB
heighten	HAOEUT/KWREPB
hasten	HAEUFT/KWREPB
harden	HARD/KWREPB
hidden	HEUD/KWREPB
ripen	RAOEUP/KWREPB
rotten	ROT/KWREPB
ridden	REUD/KWREPB
redden	RED/KWREPB
roughen	RUF/KWREPB
eaten	AOET/KWREPB
oxen	OBGS/KWREPB
earthen	*ERT/KWREPB
stylize	STAOEUL/KWRAOEUZ
stabilize	STAEUBL/KWRAOEUZ
globalize	TKPWHROEBL/KWRAOEUZ
mobilize	PHOEBL/KWRAOEUZ
realize	RAEL/KWRAOEUZ
vexation	SREBGS/KWRAEUGS
gradation	TKPWRAEUD/KWRAEUGS
duration	TKUR/KWRAEUGS
flotation	TPHROET/KWRAEUGS
flirtation	TPHREURT/KWRAEUGS
foundation	TPOUPBD/KWRAEUGS
formation	TPORPL/KWRAEUGS
fixation	TPEUBGS/KWRAEUGS
fermentation	TPERPLT/KWRAEUGS
taxation	TABGS/KWRAEUGS
temptation	TEPLT/KWRAEUGS
creation	KRAOE/KWRAEUGS
causation	KAUS/KWRAEUGS
plantation	PHRAPBT/KWRAEUGS
lamentation	HRAPLT/KWRAEUGS
