snowball	STPHOE/PWA*UL
stoplight	STOP/HRAO*EUT
schoolmate	SKAOL/PHA*EUT
skateboard	SKAEUT/PWAO*RD
sailboat	SAEUL/PWO*ET
sunshine	SUPB/SHAO*EUPB
sunrise	SUPB/RAO*EUZ
grandson	TKPWRAPBD/SO*PB
grasshopper	TKPWRAS/HO*P/*ER
flashlight	TPHRARB/HRAO*EUT
nightfall	TPHAOEUT/TPA*UL
notebook	TPHOET/PWAO*BG
notepad	TPHOET/PA*D
necktie	TPHEBG/TAO*EU
nutcracker	TPHUT/KRA*BG/*ER
freelance	TPRAOE/HRA*PBS
fireman	TPAOEUR/PHA*PB
football	TPAOT/PWA*UL
toothbrush	TAO*T/PWR*URB
toothpaste	TAO*T/PA*EUFT
teamwork	TAEPL/WO*RBG
classmate	KHRAS/PHA*EUT
crosswalk	KROS/WA*UBG
crossroad	KROS/RAO*D
keyboard	KAOE/PWAO*RD
keyhole	KAOE/HO*EL
candlelight	KAPBD/-L/HRAO*EUT
keystone	KAOE/STO*EPB
blackboard	PWHRABG/PWAO*RD
brainwash	PWRAEUPB/WA*URB
bookstore	PWAOBG/STO*R
baseball	PWAEUS/PWA*UL
backstroke	PWABG/STRO*EBG
bowtie	PWOE/TAO*EU
birthday	PW*EURT/TKA*EU
bedroom	PWED/RAO*PL
bushfire	PWURB/TPAO*EUR
playground	PHRAEU/TKPWRO*UPBD
playmate	PHRAEU/PHA*EUT
moonlight	PHAOPB/HRAO*EUT
mailbox	PHAEUL/PWO*BGS
popcorn	POP/KO*RPB
pothole	POT/HO*EL
worldwide	WORLD/WAO*EUD
lighthouse	HRAOEUT/HO*US
lipstick	HREUP/ST*EUBG
homesick	HOEPL/S*EUBG
horseshoe	HORS/SHAO*U
raindrop	RAEUPB/TKRO*P
rainbow	RAEUPB/PWO*E
eyebrow	AOEU/PWRO*U
eyeball	AOEU/PWA*UL
eyelash	AOEU/HRA*RB
airbrush	AEUR/PWR*URB
armpit	ARPL/P*EUT
