squeezes	SKWAOEZ/-Z
goofed	TKPWAOF/-D
curled	KURL/-D
dazing	TKAEUZ/-G
stalls	STAUL/-Z
fleshed	TPHRERB/-D
shacks	SHABG/-Z
ranging	RAEUPBG/-G
rocks	ROBG/-Z
shines	SHAOEUPB/-Z
loaves	HROEF/-Z
preached	PRAOEFP/-D
flinches	TPHREUFRPB/-Z
bowed	PWOU/-D
loves	HROF/-Z
skilled	SKEUL/-D
stops	STOP/-Z
clips	KHREUP/-Z
brooks	PWRAOBG/-Z
walls	WAUL/-Z
stroking	STROEBG/-G
snipped	STPHEUP/-D
flecks	TPHREBG/-Z
docking	TKOBG/-G
termed	TERPL/-D
bugged	PWUG/-D
stored	STOR/-D
staples	STAEUPL/-Z
cheeks	KHAOEBG/-Z
carvings	KAFRB/-G/-Z
pans	PAPB/-Z
parks	PARBG/-Z
stubs	STUB/-Z
deeds	TKAOED/-Z
hosed	HOES/-D
dunes	TKAOUPB/-Z
trainings	TRAEUPB/-G/-Z
scolds	SKOELD/-Z
beans	PWAEPB/-Z
thins	THEUPB/-Z
gouges	TKPWOUPBLG/-Z
saucers	SAURS/-Z
switched	SWEUFP/-D
bagged	PWAG/-D
stands	STAPBD/-Z
climbs	KHRAOEUPL/-Z
soups	SAOUP/-Z
pears	PAER/-Z
glands	TKPWHRAPBD/-Z
pitched	PEUFP/-D
singed	SAOEPBG/-D
skis	SKEU/-Z
washes	WAURB/-Z
hearings	HAER/-G/-Z
smiles	SPHAOEUL/-Z
ridges	REUPBLG/-Z
binds	PWAOEUPBD/-Z
stopping	STOP/-G
strained	STRAEUPB/-D
wobbled	WOBL/-D
prompted	PROPLT/-D
glasses	TKPWHRAS/-Z
grabbed	TKPWRAB/-D
cried	KRAOEU/-D
