staff	STAF
star	STAR
stab	STAB
stag	STAG
stat	STAT
store	STOR
stop	STOP
step	STEP
stet	STET
stead	STED
stuff	STUF
stub	STUB
stud	STUD
scar	SKAR
scab	SKAB
scat	SKAT
scad	SKAD
scoff	SKOF
score	SKOR
scot	SKOT
scuff	SKUF
skull	SKUL
scud	SKUD
spar	SPAR
spag	SPAG
spat	SPAT
spazz	SPAZ
spore	SPOR
spot	SPOT
spell	SPEL
sped	SPED
spur	SPUR
spud	SPUD
shall	SHAL
shag	SHAG
shat	SHAT
shad	SHAD
shove	SHOF
shore	SHOR
shop	SHOP
shot	SHOT
shod	SHOD
shell	SHEL
shed	SHED
sure	SHUR
shut	SHUT
thug	THUG
thus	THUS
thud	THUD
trap	TRAP
trad	TRAD
trot	TROT
trod	TROD
tress	TRES
tread	TRED
truss	TRUS
chaff	KHAF
char	KHAR
chap	KHAP
chat	KHAT
chad	KHAD
chore	KHOR
chop	KHOP
chess	KHES
chub	KHUB
chug	KHUG
crap	KRAP
crab	KRAB
crag	KRAG
crass	KRAS
crop	KROP
cross	KROS
cress	KRES
cred	KRED
crud	KRUD
prag	PRAG
prat	PRAT
prof	PROF
prop	PROP
prod	PROD
pref	PREF
prep	PREP
press	PRES
shrub	SHRUB
throb	THROB
threat	THRET
thread	THRED

