rad	RAD
pos	POS
car	KAR
could	KUD
tar	TAR
roll	ROL
head	HED
pat	PAT
poll	POL
tug	TUG
put	PUT
sad	SAD
tough	TUF
sat	SAT
hell	HEL
hut	HUT
pet	PET
rug	RUG
core	KOR
war	WAR
tap	TAP
keg	KEG
pug	PUG
sell	SEL
cab	KAB
rub	RUB
tore	TOR
wore	WOR
hog	HOG
had	HAD
sup	SUP
sag	SAG
het	HET
sog	SOG
top	TOP
tad	TAD
raz	RAZ
toll	TOL
pore	POR
hub	HUB
ter	TER
cap	KAP
her	HER
tag	TAG
rot	ROT
cup	KUP
hag	HAG
sop	SOP
pap	PAP
cog	KOG
set	SET
said	SED
wed	WED
pass	PAS
cod	KOD
rep	REP
pub	PUB
sol	SOL
rag	RAG
rudd	RUD
pal	PAL
pod	POD
wop	WOP
well	WEL
wag	WAG
huff	HUF
hop	HOP
pot	POT
sap	SAP
par	PAR
weg	WEG
har	HAR
hat	HAT
has	HAS
puff	PUF
rod	ROD
raab	RAB
sore	SOR
cad	KAD
hull	HUL
was	WAS
seb	SEB
ret	RET
web	WEB
sod	SOD
half	HAF
cuff	KUF
cub	KUB
cat	KAT
tell	TEL
pop	POP
rap	RAP
cur	KUR
red	RED
cut	KUT
rar	RAR
roar	ROR
rob	ROB
ker	KER
hot	HOT
tub	TUB
cull	KUL
hug	HUG
peg	PEG
sass	SAS
wab	WAB
pus	PUS
cot	KOT
cop	KOP
tat	TAT
pull	PUL
per	PER
ref	REF
pez	PEZ
pup	PUP
tab	TAB
wet	WET
rat	RAT
rut	RUT
sob	SOB
rough	RUF
pad	PAD
cuss	KUS
pep	PEP
sir	SEUR
sip	SEUP
sill	SEUL
sit	SEUT
sis	SEUS
tip	TEUP
till	TEUL
tid	TEUD
kip	KEUP
kill	KEUL
kit	KEUT
kiss	KEUS
kid	KEUD
pip	PEUP
pill	PEUL
pig	PEUG
pit	PEUT
will	WEUL
wig	WEUG
wit	WEUT
hip	HEUP
hill	HEUL
hig	HEUG
hit	HEUT
his	HEUS
hid	HEUD
riff	REUF
rip	REUP
rib	REUB
rill	REUL
rig	REUG
rid	REUD
rizz	REUZ
krill	KREUL
