snout	STPHOUT
strobe	STROEB
stroll	STROEL
stole	STOEL
stout	STOUT
jowl	SKWROUL
scope	SKOEP
scour	SKOUR
scowl	SKOUL
scout	SKOUT
sprout	SPROUT
spoil	SPOEUL
spout	SPOUT
spouse	SPOUS
slope	SHROEP
shroud	SHROUD
shower	SHOUR
shout	SHOUT
voice	SROEUS
vole	SROEL
vote	SROET
vowel	SROUL
soap	SOEP
sour	SOUR
globe	TKPWHROEB
grove	TKPWROEF
grouse	TKPWROUS
goal	TKPWOEL
goad	TKPWOED
gout	TKPWOUT
drought	TKROUT
drowse	TKROUS
dole	TKOEL
dose	TKOES
dour	TKOUR
dowel	TKOUL
doubt	TKOUT
douse	TKOUS
dowse	TKOUZ
flour	TPHROUR
flout	TPHROUT
noise	TPHOEUS
knoll	TPHOEL
nose	TPHOES
froze	TPROEZ
fore	TPOER
foul	TPOUL
those	THOES
troll	TROEL
trowel	TROUL
trout	TROUT
toil	TOEUL
tower	TOUR
towel	TOUL
tout	TOUT
clout	KHROUT
cloud	KHROUD
crowd	KROUD
code	KOED
cower	KOUR
cowl	KOUL
bloat	PWHROET
blouse	PWHROUS
broil	PWROEUL
browse	PWROUS
boil	PWOEUL
bowl	PWOEL
boat	PWOET
bode	PWOED
bower	PWOUR
bowel	PWOUL
bout	PWOUT
mope	PHOEP
mole	PHOEL
moat	PHOET
mode	PHOED
mouse	PHOUS
probe	PROEB
prole	PROEL
prose	PROES
prowl	PROUL
proud	PROUD
poise	POEUS
pope	POEP
pole	POEL
pose	POES
power	POUR
pout	POUT
loyal	HROEUL
loaf	HROEF
lope	HROEP
lobe	HROEB
lode	HROED
lout	HROUT
loud	HROUD
hope	HOEP
hole	HOEL
hose	HOES
hour	HOUR
howl	HOUL
house	HOUS
royal	ROEUL
rope	ROEP
robe	ROEB
role	ROEL
rogue	ROEG
rote	ROET
rose	ROES
rode	ROED
route	ROUT
rouse	ROUS
oil	OEUL
oaf	OEF
oat	OET
our	OUR
owl	OUL
