snoop	STPHAOP
snoot	STPHAOT
snooze	STPHAOZ
stoop	STAOP
stool	STAOL
stood	STAOD
scoop	SKAOP
school	SKAOL
scoot	SKAOT
spoof	SPAOF
spool	SPAOL
swoop	SWAOP
sloop	SHRAOP
shoot	SHAOT
soar	SAOR
soot	SAOT
gloop	TKPWHRAOP
goof	TKPWAOF
goop	TKPWAOP
goose	TKPWAOS
good	TKPWAOD
droop	TKRAOP
drool	TKRAOL
door	TKAOR
doop	TKAOP
doot	TKAOT
dood	TKAOD
floof	TPHRAOF
floor	TPHRAOR
flood	TPHRAOD
noob	TPHAOB
noose	TPHAOS
fool	TPAOL
foot	TPAOT
food	TPAOD
troop	TRAOP
tool	TAOL
toot	TAOT
toad	TAOD
choose	KHAOS
coop	KAOP
cool	KAOL
bloop	PWHRAOP
blood	PWHRAOD
brood	PWRAOD
boar	PWAOR
bool	PWAOL
boot	PWAOT
booze	PWAOZ
moor	PHAOR
moot	PHAOT
moose	PHAOS
mood	PHAOD
proof	PRAOF
poof	PAOF
poor	PAOR
poop	PAOP
pool	PAOL
woof	WAOF
woop	WAOP
wool	WAOL
woot	WAOT
wood	WAOD
loaf	HRAOF
loop	HRAOP
loot	HRAOT
loose	HRAOS
load	HRAOD
hoof	HAOF
hoop	HAOP
hoot	HAOT
hood	HAOD
roof	RAOF
root	RAOT
road	RAOD
oof	AOF
oar	AOR
ooze	AOZ
