sneer	STPHAOER
sneeze	STPHAOEZ
street	STRAOET
steer	STAOER
steep	STAOEP
steel	STAOEL
steed	STAOED
jeer	SKWRAOER
jeep	SKWRAOEP
jeez	SKWRAOEZ
squeal	SKWAOEL
squeeze	SKWAOEZ
screed	SKRAOED
skeet	SKAOET
smear	SPHAOER
spear	SPAOER
spiel	SPAOEL
speed	SPAOED
sweep	SWAOEP
sweet	SWAOET
sleep	SHRAOEP
sleet	SHRAOET
sleaze	SHRAOEZ
sheaf	SHAOEF
sheer	SHAOER
sheep	SHAOEP
sheet	SHAOET
veer	SRAOER
veep	SRAOEP
veal	SRAOEL
seer	SAOER
seep	SAOEP
seal	SAOEL
seat	SAOET
seed	SAOED
seize	SAOEZ
grief	TKPWRAOEF
greet	TKPWRAOET
grease	TKPWRAOES
greed	TKPWRAOED
gear	TKPWAOER
geese	TKPWAOES
dweeb	TKWAOEB
deer	TKAOER
deep	TKAOEP
deal	TKAOEL
deed	TKAOED
fleet	TPHRAOET
fleece	TPHRAOES
near	TPHAOER
neap	TPHAOEP
kneel	TPHAOEL
neat	TPHAOET
niece	TPHAOES
need	TPHAOED
freed	TPRAOED
freeze	TPRAOEZ
fear	TPAOER
feel	TPAOEL
feet	TPAOET
feed	TPAOED
tweet	TWAOET
tweed	TWAOED
tweeze	TWAOEZ
thief	THAOEF
these	THAOES
treat	TRAOET
tier	TAOER
teal	TAOEL
teat	TAOET
queer	KWAOER
quease	KWAOES
cleave	KHRAOEF
clear	KHRAOER
cleat	KHRAOET
chief	KHAOEF
cheer	KHAOER
cheep	KHAOEP
cheat	KHAOET
cheese	KHAOES
creep	KRAOEP
creel	KRAOEL
crease	KRAOES
creed	KRAOED
keep	KAOEP
keel	KAOEL
blear	PWHRAOER
bleep	PWHRAOEP
bleat	PWHRAOET
bleed	PWHRAOED
brief	PWRAOEF
breed	PWRAOED
breeze	PWRAOEZ
beef	PWAOEF
beer	PWAOER
beep	PWAOEP
beet	PWAOET
bead	PWAOED
pleat	PHRAOET
plead	PHRAOED
mere	PHAOER
meal	PHAOEL
meet	PHAOET
peer	PAOER
peep	PAOEP
peel	PAOEL
peat	PAOET
piece	PAOES
peed	PAOED
weir	WAOER
weep	WAOEP
weed	WAOED
leaf	HRAOEF
leer	HRAOER
leap	HRAOEP
league	HRAOEG
leet	HRAOET
lead	HRAOED
here	HAOER
heap	HAOEP
heel	HAOEL
heat	HAOET
heed	HAOED
reef	RAOEF
rear	RAOER
reap	RAOEP
reel	RAOEL
rete	RAOET
reed	RAOED
eve	AOEF
ear	AOER
eep	AOEP
eel	AOEL
eat	AOET
ease	AOES

