stahp	STAUP
stall	STAUL
squab	SKWAUB
squall	SKWAUL
squat	SKWAUT
squad	SKWAUD
scrawl	SKRAUL
small	SPHAUL
sprawl	SPRAUL
suave	SWAUF
swap	SWAUP
swab	SWAUB
swat	SWAUT
shawl	SHAUL
sought	SAUT
sauce	SAUS
gall	TKPWAUL
gawd	TKPWAUD
gauze	TKPWAUZ
drawl	TKRAUL
daub	TKAUB
dawg	TKAUG
naught	TPHAUT
fraught	TPRAUT
fraud	TPRAUD
fall	TPAUL
fought	TPAUT
thrall	THRAUL
thought	THAUT
trough	TRAUF
trawl	TRAUL
tall	TAUL
taught	TAUT
yacht	KWHAUT
quad	KWAUD
clause	KHRAUS
crawl	KRAUL
cough	KAUF
call	KAUL
caught	KAUT
cause	KAUS
brawl	PWRAUL
brought	PWRAUT
broad	PWRAUD
ball	PWAUL
bought	PWAUT
baud	PWAUD
mall	PHAUL
pause	PAUS
wall	WAUL
watt	WAUT
wad	WAUD
laud	HRAUD
hall	HAUL
rawr	RAUR
all	AUL
aught	AUT
