scathe	SKA*EUT
scamp	SKA*PL
swamp	SWA*UPL
swathe	SWA*UT
sloth	SHRO*T
sheath	SHA*ET
vamp	SRA*PL
south	SO*UT
gramp	TKPWRA*PL
growth	TKPWRO*ET
doth	TKA*UT
damp	TKA*PL
froth	TPRO*T
faith	TPA*EUT
tramp	TRA*PL
troth	TRO*T
tamp	TA*PL
talc	TA*LG
clamp	KHRA*PL
clothe	KHRO*ET
clomp	KHRO*PL
cloth	KHRO*T
champ	KHA*PL
chomp	KHO*PL
cramp	KRA*PL
camp	KA*PL
calc	KA*LG
comp	KO*PL
broth	PWRO*T
bathe	PWA*EUT
bath	PWA*T
both	PWO*ET
math	PHA*T
mouth	PHO*UT
moth	PHO*T
path	PA*T
pomp	PO*PL
lathe	HRA*EUT
lamp	HRA*PL
lath	HRA*T
loathe	HRO*ET
hath	HA*T
ramp	RA*PL
romp	RO*PL
auth	A*UT
amp	A*PL
oath	O*ET
