stave	STAEUF
stove	STOEF
jive	SKWRAOEUF
skeeve	SKAOEF
scav	SKAF
suave	SWAUF
sleeve	SHRAOEF
slave	SHRAEUF
shave	SHAEUF
shove	SHOF
shiv	SHEUF
solve	SOF
sieve	SEUF
glove	TKPWHROF
groove	TKPWRAOF
grave	TKPWRAEUF
grove	TKPWROEF
grieve	TKPWREF
gave	TKPWAEUF
give	TKPWEUF
drive	TKRAOEUF
drove	TKROEF
dive	TKAOEUF
nave	TPHAEUF
five	TPAOEUF
fave	TPAEUF
thrive	THRAOEUF
trove	TROEF
cleave	KHRAOEF
clove	KHROEF
chive	KHAOEUF
crave	KRAEUF
cave	KAEUF
brave	PWRAEUF
move	PHAOUF
prove	PRAOUF
peeve	PAOEF
pave	PAEUF
weave	WAOEF
love	HROF
live	HREUF
hive	HAOEUF
heave	HAOEF
rave	RAEUF
rove	ROEF
eve	AOEF
