snatch	STPHAFP
snitch	STPHEUFP
stretch	STREFP
stitch	STEUFP
screech	SKRAOEFP
scratch	SKRAFP
scooch	SKAOFP
scotch	SKOFP
sketch	SKEFP
splotch	SPHROFP
smooch	SPHAOFP
speech	SPAOEFP
switch	SWEUFP
slouch	SHROUFP
vouch	SROUFP
such	SUFP
glitch	TKPWHREUFP
grouch	TKPWROUFP
ditch	TKEUFP
notch	TPHOFP
fetch	TPEFP
twitch	TWEUFP
teach	TAOEFP
touch	TUFP
clutch	KHRUFP
crouch	KROUFP
crotch	KROFP
crutch	KRUFP
catch	KAFP
coach	KOEFP
couch	KOUFP
ketch	KEFP
bleach	PWHRAOEFP
blotch	PWHROFP
breech	PWRAOEFP
brooch	PWRAOFP
breach	PWRAEFP
broach	PWROEFP
beech	PWAOEFP
beach	PWAEFP
batch	PWAFP
botch	PWOFP
butch	PWUFP
mooch	PHAOFP
match	PHAFP
much	PHUFP
preach	PRAOEFP
peach	PAOEFP
pooch	PAOFP
patch	PAFP
poach	POEFP
pouch	POUFP
pitch	PEUFP
witch	WEUFP
leech	HRAOEFP
leach	HRAEFP
latch	HRAFP
hooch	HAOFP
hatch	HAFP
hitch	HEUFP
hutch	HUFP
reach	RAOEFP
roach	ROEFP
rich	REUFP
retch	REFP
each	AOEFP
ouch	OUFP
itch	EUFP
etch	EFP
stash	STARB
josh	SKWRORB
squash	SKWAURB
squish	SKWEURB
splash	SPHRARB
splosh	SPHRORB
smash	SPHARB
smush	SPHURB
swoosh	SWAORB
swish	SWEURB
slash	SHRARB
slosh	SHRORB
slush	SHRURB
sheesh	SHAOERB
shush	SHURB
sash	SARB
gash	TKPWARB
gauche	TKPWOERB
gosh	TKPWORB
gush	TKPWURB
drush	TKRURB
dash	TKARB
dosh	TKORB
dish	TKEURB
flash	TPHRARB
flesh	TPHRERB
flush	TPHRURB
gnash	TPHARB
nosh	TPHORB
fresh	TPRERB
fish	TPEURB
thrash	THRARB
trash	TRARB
tush	TURB
quash	KWAURB
quash	KWARB
clash	KHRARB
crash	KRARB
creche	KRERB
crush	KRURB
cash	KARB
blush	PWHRURB
brash	PWRARB
brush	PWRURB
bash	PWARB
bosh	PWORB
bush	PWURB
plush	PHRURB
mash	PHARB
mosh	PHORB
mesh	PHERB
mush	PHURB
posh	PORB
push	PURB
wash	WAURB
wish	WEURB
leash	HRAOERB
lash	HRARB
lush	HRURB
hash	HARB
hush	HURB
rash	RARB
rush	RURB
ash	ARB
staunch	STAUFRPB
starch	STAFRPB
stench	STEFRPB
scrunch	SKRUFRPB
scorch	SKOFRPB
smirch	SPHEUFRPB
cinch	SEUFRPB
search	SEFRPB
drench	TKREFRPB
flinch	TPHREUFRPB
finch	TPEUFRPB
tranche	TRAUFRPB
trench	TREFRPB
quench	KWEFRPB
clinch	KHREUFRPB
clench	KHREFRPB
church	KHUFRPB
crunch	KRUFRPB
conch	KOFRPB
branch	PWRAFRPB
brunch	PWRUFRPB
birch	PWEUFRPB
bench	PWEFRPB
bunch	PWUFRPB
march	PHAFRPB
merch	PHEFRPB
munch	PHUFRPB
paunch	PAUFRPB
parch	PAFRPB
porch	POFRPB
pinch	PEUFRPB
perch	PEFRPB
punch	PUFRPB
wrench	WREFRPB
winch	WEUFRPB
wench	WEFRPB
launch	HRAUFRPB
larch	HRAFRPB
lurch	HRUFRPB
haunch	HAUFRPB
hunch	HUFRPB
raunch	RAUFRPB
ranch	RAFRPB
arch	AFRPB
inch	EUFRPB
spacious	SPAEURBS
vicious	SREURBS
nauseous	TPHAURBS
cautious	KAURBS
precious	PRERBS
luscious	HRURBS
