age	AEUPBLG
an	APB
badge	PWAPBLG
bane	PWAEUPB
ban	PWAPB
bean	PWAEPB
been	PWAOEPB
beige	PWAEUPBLG
belch	PWELG
bilge	PWEULG
bin	PWEUPB
blown	PWHROEPB
bodge	PWOPBLG
bone	PWOEPB
bon	PWOPB
boon	PWAOPB
brain	PWRAEUPB
bran	PWRAPB
brawn	PWRAUPB
bridge	PWREUPBLG
brine	PWRAOEUPB
brown	PWROUPB
budge	PWUPBLG
bulge	PWULG
bun	PWUPB
cadge	KAPBLG
cage	KAEUPBLG
cane	KAEUPB
can	KAPB
chain	KHAEUPB
chine	KHAOEUPB
chin	KHEUPB
clan	KHRAPB
clean	KHRAOEPB
clone	KHROEPB
clown	KHROUPB
coin	KOEUPB
colon	KHROPB
cone	KOEPB
coon	KAOPB
crane	KRAEUPB
crone	KROEPB
croon	KRAOPB
crown	KROUPB
dawn	TKAUPB
dean	TKAOEPB
den	TKEPB
dine	TKAOEUPB
din	TKEUPB
dodge	TKOPBLG
done	TKOPB
down	TKOUPB
drain	TKRAEUPB
drawn	TKRAUPB
dredge	TKREPBLG
drone	TKROEPB
drown	TKROUPB
drudge	TKRUPBLG
dune	TKAOUPB
edge	EPBLG
fan	TPAPB
fawn	TPAUPB
feign	TPAEUPB
felch	TPELG
fen	TPEPB
fine	TPAOEUPB
fin	TPEUPB
flan	TPHRAPB
fledge	TPHREPBLG
flown	TPHROEPB
fridge	TPREUPBLG
frown	TPROUPB
fudge	TPUPBLG
fun	TPUPB
gain	TKPWAEUPB
gauge	TKPWAEUPBLG
gene	SKWRAOEPB
gin	SKWREUPB
glan	TKPWHRAPB
glean	TKPWHRAOEPB
gone	TKPWOPB
goon	TKPWAOPB
gouge	TKPWOUPBLG
gown	TKPWOUPB
grain	TKPWRAEUPB
gran	TKPWRAPB
green	TKPWRAOEPB
grin	TKPWREUPB
groan	TKPWRAOPB
groin	TKPWROEUPB
grown	TKPWROEPB
grudge	TKPWRUPBLG
gulch	TKPWULG
hedge	HEPBLG
hen	HEPB
hone	HOEPB
hon	HOPB
huge	HAOUPBLG
judge	SKWRUPBLG
keen	KAOEPB
ken	KEPB
kin	KEUPB
kludge	KHRUPBLG
known	TPHOEPB
lain	HRAEUPB
lane	HRAEPB
lan	HRAPB
lawn	HRAUPB
lean	HRAOEPB
ledge	HREPBLG
line	HRAOEUPB
lodge	HROPBLG
loin	HROEUPB
lone	HROEPB
loon	HRAOPB
main	PHAEUPB
mane	PHAEPB
man	PHAPB
mean	PHAOEPB
men	PHEPB
midge	PHEUPBLG
mine	PHAOEUPB
moan	PHOEPB
moon	PHAOPB
mulch	PHULG
nan	TPHAPB
none	TPHAUPB
noon	TPHAOPB
nudge	TPHUPBLG
nun	TPHUPB
one	WUPB
own	OEPB
page	PAEUPBLG
pain	PAEUPB
pane	PAEPB
pan	PAPB
pawn	PAUPB
peen	PAOEPB
pen	PEPB
pine	PAOEUPB
pin	PEUPB
plain	PHRAEUPB
plane	PHRAEPB
plan	PHRAPB
pledge	PHREPBLG
podge	POPBLG
prawn	PRAUPB
preen	PRAOEPB
prone	PROEPB
prune	PRAOUPB
pun	PUPB
queen	KWAOEPB
quin	KWEUPB
rage	RAEUPBLG
rain	RAEUPB
ran	RAPB
reign	RAEPB
ridge	REUPBLG
run	RUPB
sadge	SAPBLG
sage	SAEUPBLG
sane	SAEUPB
scan	SKAPB
scone	SKOEPB
scrawn	SKRAUPB
screen	SKRAOEPB
sedge	SEPBLG
seen	SAOEPB
sen	SEPB
sheen	SHAOEPB
shine	SHAOEUPB
shin	SHEUPB
shown	SHOEPB
shrine	SHRAOEUPB
shun	SHUPB
siege	SAOEPBLG
sign	SAOEUPB
sin	SEUPB
skin	SKEUPB
slain	SHRAEUPB
sledge	SHREPBLG
sludge	SHRUPBLG
smidge	SPHEUPBLG
smudge	SPHUPBLG
son	SOPB
soon	SAOPB
sown	SOEPB
span	SPAPB
spawn	SPAUPB
spine	SPAOEUPB
spin	SPEUPB
spleen	SPHRAOEPB
spline	SPHRAOEUPB
splodge	SPHROPBLG
spoon	SPAOPB
sprain	SPRAEUPB
spun	SPUPB
squelch	SKWELG
stage	STAEUPBLG
stain	STAEUPB
stan	STAPB
stone	STOEPB
stooge	STAOPBLG
strain	STRAEUPB
strewn	STRAOUPB
stun	STUPB
sun	SUPB
swain	SWAEUPB
swan	SWAUPB
swine	SWAOEUPB
swoon	SWAOPB
tan	TAPB
teen	TAOEPB
ten	TEPB
than	THAPB
then	THEPB
thine	THAOEUPB
thin	THEUPB
throne	THROEPB
tine	TAOEUPB
tin	TEUPB
tone	TOEPB
ton	TOPB
toon	TAOPB
town	TOUPB
train	TRAEUPB
tran	TRAPB
tron	TROPB
trudge	TRUPBLG
tune	TAOUPB
tun	TUPB
twain	TWAEUPB
twine	TWAOEUPB
twin	TWEUPB
vain	SRAEUPB
vane	SRAEPB
van	SRAPB
vine	SRAOEUPB
von	SROPB
wage	WAEUPBLG
wane	WAEUPB
wan	WAPB
wean	WAOEPB
wedge	WEPBLG
welch	WELG
wine	WAOEUPB
win	WEUPB
wodge	WOPBLG
won	WOPB
yawn	KWHAUPB
