bang      PWAPBG
bank      PWA*PBG
binge     PWEUPBG
blank     PWHRA*PBG
bling     PWHREUPBG
blink     PWHR*EUPBG
boing     PWOEUPBG
bong      PWOPBG
bonk      PWO*PBG
bring     PWREUPBG
brink     PWR*EUPBG
brung     PWRUPBG
bung      PWUPBG
bunk      PW*UPBG
carve     KAFRB
change    KHAEUPBG
chunk     KH*UPBG
clang     KHRAPBG
clank     KHRA*PBG
cling     KHREUPBG
clink     KHR*EUPBG
clung     KHRUPBG
clunk     KHR*UPBG
crank     KRA*PBG
cringe    KREUPBG
curve     KUFRB
dang      TKAPBG
dank      TKA*PBG
ding      TKEUPBG
dong      TKOPBG
drank     TKRA*PBG
drink     TKR*EUPBG
drunk     TKR*UPBG
dung      TKUPBG
dunk      TK*UPBG
dwarf     TKWA*FRB
eng       EPBG
fang      TPAPBG
fink      TP*EUPBG
flange    TPHRAPBG
fling     TPHREUPBG
flung     TPHRUPBG
flunk     TPHR*UPBG
frank     TPRA*PBG
fringe    TPREUPBG
fung      TPUPBG
funk      TP*UPBG
gang      TKPWAPBG
gong      TKPWOPBG
grange    TKPWRAEUPBG
grunge    TKPWRUPBG
gunk      TKPW*UPBG
hang      HAPBG
hank      HA*PBG
hinge     HEUPBG
honk      HO*PBG
hung      HUPBG
hunk      H*UPBG
ink       *EUPBG
jank      SKWRA*PBG
junk      SKWR*UPBG
king      KEUPBG
lang      HRAPBG
lank      HRA*PBG
ling      HREUPBG
link      HR*EUPBG
long      HROPBG
lounge    HROUPBG
lung      HRUPBG
mange     PHAEUPBG
mink      PH*EUPBG
monk      PHO*PBG
morph     PHO*FRB
mung      PHUPBG
nerf      TPH*EFRB
nerve     TPHEFRB
pang      PAPBG
perf      P*EFRB
perve     PEFRB
ping      PEUPBG
pink      P*EUPBG
plank     PHRA*PBG
plink     PHR*EUPBG
plonk     PHRO*PBG
plunge    PHRUPBG
plunk     PHR*UPBG
pong      POPBG
prang     PRAPBG
prank     PRA*PBG
prong     PROPBG
punk      P*UPBG
range     RAEUPBG
rang      RAPBG
rank      RA*PBG
ring      REUPBG
rink      R*EUPBG
rung      RUPBG
sang      SAPBG
sank      SA*PBG
scarf     SKA*FRB
scrounge  SKROUPBG
scurf     SK*UFRB
serf      S*EFRB
serve     SEFRB
shank     SHA*PBG
shrank    SHRA*PBG
shrink    SHR*EUPBG
shrunk    SHR*UPBG
sing      SEUPBG
sink      S*EUPBG
skank     SKA*PBG
skink     SK*EUPBG
skunk     SK*UPBG
slang     SHRAPBG
sling     SHREUPBG
slink     SHRAO*EPBG
slung     SHRUPBG
smurf     SPH*UFRB
song      SOPBG
spang     SPAPBG
splunge   SPHRUPBG
sponge    SPOPBG
sprang    SPRAPBG
spring    SPREUPBG
sprung    SPRUPBG
stank     STA*PBG
starve    STAFRB
sting     STEUPBG
stink     ST*EUPBG
stonk     STO*PBG
strange   STRAEUPBG
string    STREUPBG
strong    STROPBG
strung    STRUPBG
stung     STUPBG
stunk     ST*UPBG
sung      SUPBG
sunk      S*UPBG
surf      S*UFRB
swank     SWA*PBG
swerve    SWEFRB
swing     SWEUPBG
swung     SWUPBG
tang      TAPBG
tank      TA*PBG
thank     THA*PBG
thing     THEUPBG
think     TH*EUPBG
thonk     THO*PBG
throng    THROPBG
thunk     TH*UPBG
tinge     TEUPBG
tong      TOPBG
trunk     TR*UPBG
tung      TUPBG
turf      T*UFRB
twinge    TWEUPBG
twink     TW*EUPBG
verve     SREFRB
wang      WAPBG
wank      WA*PBG
wharf     WHA*FRB
wink      W*EUPBG
wonk      WO*PBG
yank      KWHA*PBG
young     KWHUPBG
