ability       ABLT
able          AEUBL
babble        PWABL
bauble        PWAUBL
bobble        PWOBL
bubble        PWUBL
bulb          PW*UBL
cable         KAEUBL
chewable      KHAOUBL
cobble        KOBL
dabble        TKABL
dibble        TKEUBL
double        TKUBL
dryable       TKRAOEUBL
fable         TPAEUBL
feasibility   TPAOEFBLT
feeble        TPAOEBL
gabble        TKPWABL
gable         TKPWAEUBL
global        TKPWHROEBL
gobble        TKPWOBL
hobble        HOBL
hubble        HUBL
kibble        KEUBL
label         HRAEUBL
liable        HRAOEUBL
livability    HREUFBLT
mobile        PHOEBL
mobility      PHOEBLT
movability    PHAOUFBLT
nibble        TPHEUBL
nobility      TPHOEBLT
noble         TPHOEBL
nubble        TPHUBL
plausibility  PHRAUFBLT
playable      PHRAEUBL
pliability    PHRAOEUBLT
pliable       PHRAOEUBL
possibility   POFBLT
provability   PRAOUFBLT
quibble       KWEUBL
rabble        RABL
rebel         REBL
rubble        RUBL
ruble         RAOUBL
scrabble      SKRABL
scribble      SKREUBL
seeable       SAOEBL
squabble      SKWAUBL
stability     STABLT
stable        STAEUBL
stoppable     STOPBL
stubble       STUBL
table         TAEUBL
treble        TREBL
tribal        TRAOEUBL
trouble       TRUBL
variability   SRAEURBLT
viability     SRAOEUBLT
viable        SRAOEUBL
viewable      SRAOUBL
visibility    SREUFBLT
wobble        WOBL
