stable	STAEUBL
stubble	STUBL
squabble	SKWAUBL
scrabble	SKRABL
scribble	SKREUBL
viable	SRAOEUBL
viewable	SRAOUBL
seeable	SAOEBL
global	TKPWHROEBL
gable	TKPWAEUBL
gabble	TKPWABL
gobble	TKPWOBL
dryable	TKRAOEUBL
dabble	TKABL
dibble	TKEUBL
double	TKUBL
noble	TPHOEBL
nibble	TPHEUBL
nubble	TPHUBL
feeble	TPAOEBL
fable	TPAEUBL
tribal	TRAOEUBL
treble	TREBL
trouble	TRUBL
table	TAEUBL
quibble	KWEUBL
chewable	KHAOUBL
cable	KAEUBL
cobble	KOBL
kibble	KEUBL
bauble	PWAUBL
babble	PWABL
bobble	PWOBL
bulb	PW*UBL
bubble	PWUBL
pliable	PHRAOEUBL
playable	PHRAEUBL
mobile	PHOEBL
wobble	WOBL
liable	HRAOEUBL
label	HRAEUBL
hobble	HOBL
hubble	HUBL
ruble	RAOUBL
rabble	RABL
rebel	REBL
rubble	RUBL
able	AEUBL
