action    A*BGS
aux       AUBGS
axe       ABGS
box       PWOBGS
caution   KAUGS
coax      KOEBGS
cushion   KUGS
diction   TKEUBGS
dox       TKOBGS
faction   TPA*BGS
fashion   TPAGS
fax       TPABGS
fission   TPEUGS
fix       TPEUBGS
flax      TPHRABGS
flex      TPHREBGS
flux      TPHRUBGS
fox       TPOBGS
fraction  TPRABGS
friction  TPREUBGS
fusion    TPAOUGS
hex       HEBGS
hoax      HOEBGS
lax       HRABGS
lotion    HROEGS
lox       HROBGS
max       PHABGS
mission   PHEUGS
mix       PHEUBGS
motion    PHOEGS
mux       PHUBGS
nation    TPHAEUGS
notion    TPHOEGS
ocean     OEGS
ox        OBGS
passion   PAGS
pax       PABGS
pex       PEBGS
plex      PHREBGS
potion    POEGS
pox       POBGS
ration    RAGS
sax       SABGS
session   SEGS
six       SEUBGS
station   STAEUGS
tax       TABGS
tex       TEBGS
tox       TOBGS
traction  TRA*BGS
trusion   TRAOUGS
tux       TUBGS
vex       SREBGS
vision    SREUGS
vox       SROBGS
wax       WABGS
