bruise   PWRAOUS
cell     KREL
cent     KREPBT
cents    KREPBTS
chasm    KHAFPL
choose   KHAOS
chord    KHORD
cite     KRAOEUT
cruise   KRAOUS
cyst     KREUFT
pharm    TPA*RPL
phase    TPA*EUS
phat     TPA*T
phone    TPO*EPB
poise    POEUS
use      AOUS
whack    WHABG
whale    WHAEUL
wham     WHAPL
whap     WHAP
wheal    WHAEL
wheat    WHAOET
wheel    WHAOEL
when     WHEPB
whoa     WHOE
whole    WHOEL
whop     WHOP
whorl    WHORL
whose    WHAOUS
wrack    WRABG
wrap     WRAP
wrong    WROPBG
wrote    WROET
wrought  WRAUT
