aft	AFT
ask	AFBG
bask	PWAFBG
beast	PWAOEFT
best	PWEFT
bisque	PWEUFBG
blast	PWHRAFT
blest	PWHREFT
blossom	PWHROFPL
boast	PWOEFT
boost	PWAOFT
bosom	PWOFPL
breast	PWREFT
brisk	PWREUFBG
bust	PWUFT
cask	KAFBG
cast	KAFT
chasm	KAFPL
chest	KHEFT
cleft	KHREFT
coast	KOEFT
cost	KOFT
craft	KRAFT
crest	KREFT
crust	KRUFT
cust	KUFT
daft	TKAFT
deft	TKEFT
desk	TKEFBG
disk	TKEUFBG
draft	TKRAFT
drift	TKREUFT
dusk	TKUFBG
dust	TKUFT
east	AOEFT
fast	TPAFT
feast	TPAOEFT
fest	TPEFT
fist	TPEUFT
flask	TPHRAFBG
foist	TPOEUFT
frisk	TPREUFBG
frost	TPROFT
ghost	TKPWOEFT
gift	TKPWEUFT
gist	SKWREUFT
graft	TKPWRAFT
guest	TKPWEFT
gust	TKPWUFT
haste	HAEUFT
heft	HEFT
heist	HAOEUFT
hoist	HOEUFT
host	HOEFT
husk	HUFBG
jest	SKWREFT
joist	SKWROEUFT
joust	SKWROUFT
just	SKWRUFT
last	HRAFT
least	HRAOEFT
left	HREFT
lift	HREUFT
loft	HROFT
lust	HRUFT
mask	PHAFBG
mast	PHAFT
misc	PHEUFBG
mist	PHEUFT
moist	PHOEUFT
mosque	PHOFBG
most	PHOEFT
musk	PHUFBG
must	PHUFT
nest	TPHEFT
oust	OUFT
paste	PAEUFT
past	PAFT
pest	PEFT
plasm	PHRAFPL
post	POEFT
priest	PRAOEFT
prism	PREUFPL
quest	KWEFT
raft	RAFT
rest	REFT
rift	REUFT
risk	REUFBG
roast	ROEFT
roost	RAOFT
rust	RUFT
schism	SHEUFPL
shaft	SHAFT
shift	SHEUFT
sift	SEUFT
soft	SOFT
spasm	SPAFPL
swift	SWEUFT
task	TAFBG
taste	TAEUFT
test	TEFT
theft	THEFT
thrift	THREUFT
thrust	THRUFT
toast	TOEFT
trust	TRUFT
tusk	TUFBG
twist	TWEUFT
vast	SRAFT
vest	SREFT
waft	WAUFT
waist	WAEUFT
waste	WAEFT
west	WEFT
wist	WEUFT
wrest	WREFT
wrist	WREUFT
yeast	KWHAOEFT
