booty      PWAOT/KWREU
brawny     PWRAUPB/KWREU
bumpy      PW*UPL/KWREU
bushy      PWURB/KWREU
chatty     KHAT/KWREU
cheaply    KHAOEP/HREU
cheery     KHAOER/KWREU
cherry     KHER/KWREU
chewy      KHAOU/KWREU
chilly     KHEUL/KWREU
clammy     KHRAPL/KWREU
classy     KHRAS/KWREU
clunky     KHR*UPBG/KWREU
crafty     KRAFT/KWREU
creaky     KRAEBG/KWREU
crusty     KRUFT/KWREU
dryly      TKRAOEU/HREU
fairy      TPAEUR/KWREU
falsely    TPAULS/HREU
fiercely   TPAOERS/HREU
finely     TPAOEUPB/HREU
firmly     TPEURPL/HREU
fizzy      TPEUZ/KWREU
foamy      TPOEPL/KWREU
frankly    TPRA*PBG/HREU
girly      TKPWEURL/KWREU
glumly     TKPWHRUPL/HREU
gravely    TKPWRAEUF/HREU
greedy     TKPWRAOED/KWREU
grimy      TKPWRAOEUPL/KWREU
grubby     TKPWRUB/KWREU
guilty     TKPWEULT/KWREU
gummy      TKPWUPL/KWREU
hasty      HAEUFT/KWREU
hearty     HART/KWREU
hefty      HEFT/KWREU
hoggy      HOG/KWREU
itchy      EUFP/KWREU
janky      SKWRA*PBG/KWREU
jaunty     SKWRAUPBT/KWREU
jerky      SKWRERBG/KWREU
knotty     TPHO*T/KWREU
laggy      HRAG/KWREU
lightly    HRAOEUT/HREU
lofty      HROFT/KWREU
lucky      HRUBG/KWREU
mainly     PHAEUPB/HREU
milky      PH*EULG/KWREU
moldy      PHOELD/KWREU
monthly    PHO*PBT/HREU
moody      PHAOD/KWREU
mostly     PHOEFT/HREU
muddy      PHUD/KWREU
munchy     PHUFRPB/KWREU
nightly    TPHAOEUT/HREU
noisy      TPHOEUS/KWREU
nosy       TPHOES/KWREU
overly     OEFR/HREU
paunchy    PAUFRPB/KWREU
phony      TPO*EPB/KWREU
prickly    PREUBG/HREU
puffy      PUF/KWREU
quickly    KWEUBG/HREU
rainy      RAEUPB/KWREU
rightly    RAOEUT/HREU
safely     SAEUF/HREU
salty      SAULT/KWREU
sandy      SAPBD/KWREU
scarcely   SKAEURS/HREU
scrawny    SKRAUPB/KWREU
screwy     SKRAOU/KWREU
shiny      SHAOEUPB/KWREU
shorty     SHORT/KWREU
silty      SEULT/KWREU
slimy      SHRAOEUPL/KWREU
slyly      SHRAOEU/HREU
smelly     SPHEL/KWREU
snazzy     STPHAZ/KWREU
snugly     STPHUG/HREU
spiffy     SPEUF/KWREU
sprightly  SPRAOEUT/HREU
squirmy    SKWEURPL/KWREU
starchy    STAFRPB/KWREU
steely     STAOEL/KWREU
stinky     ST*EUPBG/KWREU
tacky      TABG/KWREU
tangy      TAPBG/KWREU
theory     THAOER/KWREU
timey      TAOEUPL/KWREU
vaguely    SRAEUG/HREU
wacky      WABG/KWREU
warmly     WARPL/HREU
weekly     WAOEBG/HREU
weighty    WAET/KWREU
wimpy      W*EUPL/KWREU
wrongly    WROPBG/HREU
