active        ABGT/KWREUF
artist        ART/KWREUFT
basic         PWAEUS/KWREUBG
beaten        PWAOET/KWREPB
bitten        PWEUT/KWREPB
blacken       PWHRABG/KWREPB
brazen        PWRAEUZ/KWREPB
broaden       PWRAUD/KWREPB
causation     KAUS/KWRAEUGS
coolant       KAOL/KWRAPBT
creation      KRAOE/KWRAEUGS
cubic         KAOUB/KWREUBG
cubism        KAOUB/KWREUFPL
duration      TKUR/KWRAEUGS
earthen       *ERT/KWREPB
eaten         AOET/KWREPB
fallen        TPAUL/KWREPB
fatten        TPAT/KWREPB
fermentation  TPERPLT/KWRAEUGS
festive       TPEFT/KWREUF
fictional     TP*EUBGS/KWRAL
fixation      TPEUBGS/KWRAEUGS
flirtation    TPHREURT/KWRAEUGS
floral        TPHROR/KWRAL
flotation     TPHROET/KWRAEUGS
formal        TPORPL/KWRAL
formation     TPORPL/KWRAEUGS
foundation    TPOUPBD/KWRAEUGS
fractional    TPRABGS/KWRAL
frontal       TPROPBT/KWRAL
globalize     TKPWHROEBL/KWRAOEUZ
global        TKPWHROEB/KWRAL
gradation     TKPWRAEUD/KWRAEUGS
graphic       TKPWRAF/KWREUBG
harden        HARD/KWREPB
hasten        HAEUFT/KWREPB
heighten      HAOEUT/KWREPB
herein        HAOER/KWREUPB
hidden        HEUD/KWREPB
lamentation   HRAPLT/KWRAEUGS
leftist       HREFT/KWREUFT
lengthen      HR*EPBG/KWREPB
lessen        HRES/KWREPB
lighten       HRAOEUT/KWREPB
liken         HRAOEUBG/KWREPB
login         HROG/KWREUPB
loosen        HRAOS/KWREPB
madden        PHAD/KWREPB
massive       PHAS/KWREUF
mobilize      PHOEBL/KWRAOEUZ
moisten       PHOEUFT/KWREPB
molten        PHOELT/KWREPB
national      TPHAGS/KWRAL
normal        TPHORPL/KWRAL
oxen          OBGS/KWREPB
pantheon      PA*PBT/KWREPB
plantation    PHRAPBT/KWRAEUGS
plugin        PHRUG/KWREUPB
purist        PAOUR/KWREUFT
quicken       KWEUBG/KWREPB
racism        RAEUS/KWREUFPL
realism       RAEL/KWREUFPL
realist       RAEL/KWREUFT
realize       RAEL/KWRAOEUZ
redden        RED/KWREPB
ridden        REUD/KWREPB
ripen         RAOEUP/KWREPB
rotten        ROT/KWREPB
roughen       RUF/KWREPB
scopist       SKOEP/KWREUFT
sealant       SAOEL/KWRAPBT
servant       SEFRB/KWRAPBT
spinal        SPAOEUPB/KWRAL
spousal       SPOUS/KWRAL
stabilize     STAEUBL/KWRAOEUZ
straighten    STRAEUT/KWREPB
strengthen    STR*EPBGT/KWREPB
stylize       STAOEUL/KWRAOEUZ
taken         TAEUBG/KWREPB
taxation      TABGS/KWRAEUGS
temptation    TEPLT/KWRAEUGS
tensive       TEPBS/KWREUF
therein       THR/KWREUPB
thicken       THEUBG/KWREPB
threaten      THRET/KWREPB
tidal         TAOEUD/KWRAL
tighten       TAOEUT/KWREPB
tonal         TOEPB/KWRAL
toughen       TUF/KWREPB
tourism       TAOUR/KWREUFPL
tourist       TAOUR/KWREUFT
tribal        TRAOEUB/KWRAL
truism        TRAOU/KWREUFPL
typist        TAOEUP/KWREUFT
vexation      SREBGS/KWRAEUGS
waken         WAEUBG/KWREPB
warden        WARD/KWREPB
weaken        WAEBG/KWREPB
widen         WAOEUD/KWREPB
woken         WOEBG/KWREPB
wooden        WAOD/KWREPB
worsen        WORS/KWREPB
written       WREUT/KWREPB
