sellar	SEL/A*R
cellar	KREL/A*R
bulbar	PWUL/-B/A*R
beggar	PWEG/A*R
planar	PHRAEUPB/A*R
lunar	HRAOUPB/A*R
hangar	HAPBG/A*R
vendor	SREPBD/O*R
suitor	SAOUT/O*R
sailor	SAEUL/O*R
debtor	TKET/O*R
tractor	TRABGT/O*R
tormentor	TORPLT/O*R
razor	RAEUZ/O*R
actor	ABGT/O*R
inner	EUPB/*ER
skimmer	SKEUPL/*ER
skipper	SKEUP/*ER
drawer	TKRAU/*ER
owner	OEPB/*ER
cooker	KAOBG/*ER
opener	OEP/*ER
giver	TKPWEUF/*ER
planner	PHRAPB/*ER
taller	TAUL/*ER
prouder	PROUD/*ER
scraper	SKRAEUP/*ER
barker	PWARBG/*ER
fonder	TPOPBD/*ER
squeezer	SKWAOEZ/*ER
mugger	PHUG/*ER
slipper	SHREUP/*ER
poster	POEFT/*ER
hater	HAEUT/*ER
skewer	SKAOU/*ER
darter	TKART/*ER
renter	REPBT/*ER
feeler	TPAOEL/*ER
signer	SAOEUPB/*ER
dimer	TKAOEUPL/*ER
footer	TPAOT/*ER
