crusty	KRUFT/KWREU
hearty	HART/KWREU
shorty	SHORT/KWREU
nightly	TPHAOEUT/HREU
shiny	SHAOEUPB/KWREU
clunky	KHR*UPBG/KWREU
phony	TPO*EPB/KWREU
nosy	TPHOES/KWREU
knotty	TPHO*T/KWREU
hoggy	HOG/KWREU
giddy	TKPWEUD/KWREU
vaguely	SRAEUG/HREU
wimpy	W*EUPL/KWREU
quickly	KWEUBG/HREU
puffy	PUF/KWREU
smelly	SPHEL/KWREU
weighty	WAET/KWREU
crafty	KRAFT/KWREU
chatty	KHAT/KWREU
slyly	SHRAOEU/HREU
fiercely	TPAOERS/HREU
dryly	TKRAOEU/HREU
monthly	PHO*PBT/HREU
classy	KHRAS/KWREU
hasty	HAEUFT/KWREU
fairy	TPAEUR/KWREU
jaunty	SKWRAUPBT/KWREU
milky	PH*EULG/KWREU
snazzy	STPHAZ/KWREU
booty	PWAOT/KWREU
lucky	HRUBG/KWREU
lofty	HROFT/KWREU
laggy	HRAG/KWREU
wrongly	WROPBG/HREU
itchy	EUFP/KWREU
steely	STAOEL/KWREU
janky	SKWRA*PBG/KWREU
gravely	TKPWRAEUF/HREU
cheery	KHAOER/KWREU
girly	TKPWEURL/KWREU
moldy	PHOELD/KWREU
overly	OEFR/HREU
munchy	PHUFRPB/KWREU
paunchy	PAUFRPB/KWREU
starchy	STAFRPB/KWREU
mostly	PHOEFT/HREU
frankly	TPRA*PBG/HREU
cheaply	KHAOEP/HREU
finely	TPAOEUPB/HREU
theory	THAOER/KWREU
jerky	SKWRERBG/KWREU
salty	SAULT/KWREU
tacky	TABG/KWREU
moody	PHAOD/KWREU
bumpy	PW*UPL/KWREU
rightly	RAOEUT/HREU
timey	TAOEUPL/KWREU
bushy	PWURB/KWREU
sandy	SAPBD/KWREU
warmly	WARPL/HREU
snugly	STPHUG/HREU
stinky	ST*EUPBG/KWREU
falsely	TPAULS/HREU
screwy	SKRAOU/KWREU
scrawny	SKRAUPB/KWREU
brawny	PWRAUPB/KWREU
fizzy	TPEUZ/KWREU
creaky	KRAEBG/KWREU
grubby	TKPWRUB/KWREU
muddy	PHUD/KWREU
prickly	PREUBG/HREU
spiffy	SPEUF/KWREU
firmly	TPEURPL/HREU
greedy	TKPWRAOED/KWREU
wacky	WABG/KWREU
hefty	HEFT/KWREU
scarcely	SKAEURS/HREU
slimy	SHRAOEUPL/KWREU
tangy	TAPBG/KWREU
clammy	KHRAPL/KWREU
mainly	PHAEUPB/HREU
glumly	TKPWHRUPL/HREU
weekly	WAOEBG/HREU
foamy	TPOEPL/KWREU
silty	SEULT/KWREU
grimy	TKPWRAOEUPL/KWREU
cherry	KHER/KWREU
chilly	KHEUL/KWREU
sprightly	SPRAOEUT/HREU
rainy	RAEUPB/KWREU
squirmy	SKWEURPL/KWREU
lightly	HRAOEUT/HREU
noisy	TPHOEUS/KWREU
chewy	KHAOU/KWREU
guilty	TKPWEULT/KWREU
gummy	TKPWUPL/KWREU
safely	SAEUF/HREU
