armful        ARPL/-FL
artful        ART/-FL
awful         AU/-FL
boastful      PWOEFT/-FL
cautiousness  KAURBS/-PBS
closeness     KHROES/-PBS
coarseness    KAORS/-PBS
darkness      TKARBG/-PBS
doubtful      TKOUT/-FL
dreadful      TKRED/-FL
earful        AOER/-FL
fateful       TPAEUT/-FL
fitness       TPEUT/-PBS
frankness     TPRA*PBG/-PBS
gladness      TKPWHRAD/-PBS
grateful      TKPWRAEUT/-FL
handful       HAPBD/-FL
harmful       HARPL/-FL
illness       EUL/-PBS
joyful        SKWROEU/-FL
kindness      KAOEUPBD/-PBS
lawful        HRAU/-FL
likeness      HRAOEUBG/-PBS
looseness     HRAOS/-PBS
lowness       HROE/-PBS
lustful       HRUFT/-FL
mournful      PHAOURPB/-FL
openness      OEP/-PBS
painful       PAEUPB/-FL
peaceful      PAES/-FL
pitiful       PEUT/-FL
playful       PHRAEU/-FL
quaintness    KWAEUPBT/-PBS
quickness     KWEUBG/-PBS
restful       REFT/-FL
rightful      RAOEUT/-FL
roughness     RUF/-PBS
sickness      SEUBG/-PBS
sourness      SOUR/-PBS
spitefulness  SPAOEUT/-FL/-PBS
staleness     STAEUL/-PBS
stressful     STRES/-FL
tasteful      TAEUFT/-FL
tearful       TAER/-FL
thickness     THEUBG/-PBS
truthful      TRAO*UT/-FL
vagueness     SRAEUG/-PBS
weakness      WAEBG/-PBS
wishful       WEURB/-FL
wistful       WEUFT/-FL
