capability     KAEUPBLT
credibility    KRED/-BLT
debility       TKE/-BLT
durability     TKURBLT
eligibility    ELG/-BLT
feasibility    TPAOEFBLT
flammability   TPHRAPL/-BLT
gullibility    TKPWUL/-BLT
inability      EUPB/-BLT
legibility     HREPBLG/-BLT
liability      HRAOEUBLT
livability     HREUFBLT
marketability  PHARBGT/-BLT
movability     PHAOUFBLT
plausibility   PHRAUS/-BLT
portability    PORT/-BLT
possibility    POFBLT
probability    PROB/-BLT
provability    PRAOUFBLT
readability    RAED/-BLT
shipability    SHEUPBLT
solvability    SOF/-BLT
stability      STABLT
usability      AOUS/-BLT
visibility     SREUFBLT
