airbrush     AEUR/PWR*URB
armpit       ARPL/P*EUT
backstroke   PWABG/STRO*EBG
baseball     PWAEUS/PWA*UL
bedroom      PWED/RAO*PL
birthday     PW*EURT/TKA*EU
blackboard   PWHRABG/PWAO*RD
bookstore    PWAOBG/STO*R
bowtie       PWOE/TAO*EU
brainwash    PWRAEUPB/WA*URB
bushfire     PWURB/TPAO*EUR
candlelight  KAPBD/-L/HRAO*EUT
classmate    KHRAS/PHA*EUT
crossroad    KROS/RAO*D
crosswalk    KROS/WA*UBG
eyeball      AOEU/PWA*UL
eyebrow      AOEU/PWRO*U
eyelash      AOEU/HRA*RB
fireman      TPAOEUR/PHA*PB
flashlight   TPHRARB/HRAO*EUT
football     TPAOT/PWA*UL
freelance    TPRAOE/HRA*PBS
grandson     TKPWRAPBD/SO*PB
grasshopper  TKPWRAS/HO*P/*ER
homesick     HOEPL/S*EUBG
horseshoe    HORS/SHAO*U
keyboard     KAOE/PWAO*RD
keyhole      KAOE/HO*EL
keystone     KAOE/STO*EPB
lighthouse   HRAOEUT/HO*US
lipstick     HREUP/ST*EUBG
mailbox      PHAEUL/PWO*BGS
moonlight    PHAOPB/HRAO*EUT
necktie      TPHEBG/TAO*EU
nightfall    TPHAOEUT/TPA*UL
notebook     TPHOET/PWAO*BG
notepad      TPHOET/PA*D
nutcracker   TPHUT/KRA*BG/*ER
playground   PHRAEU/TKPWRO*UPBD
playmate     PHRAEU/PHA*EUT
popcorn      POP/KO*RPB
pothole      POT/HO*EL
rainbow      RAEUPB/PWO*E
raindrop     RAEUPB/TKRO*P
sailboat     SAEUL/PWO*ET
schoolmate   SKAOL/PHA*EUT
skateboard   SKAEUT/PWAO*RD
snowball     STPHOE/PWA*UL
stoplight    STOP/HRAO*EUT
sunrise      SUPB/RAO*EUZ
sunshine     SUPB/SHAO*EUPB
teamwork     TAEPL/WO*RBG
toothbrush   TAO*T/PWR*URB
toothpaste   TAO*T/PA*EUFT
worldwide    WORLD/WAO*EUD
