bagged	PWAG/-D
beans	PWAEPB/-Z
binds	PWAOEUPBD/-Z
bowed	PWOU/-D
brooks	PWRAOBG/-Z
bugged	PWUG/-D
carvings	KAFRB/-G/-Z
cheeks	KHAOEBG/-Z
climbs	KHRAOEUPL/-Z
clips	KHREUP/-Z
cried	KRAOEU/-D
curled	KURL/-D
dazing	TKAEUZ/-G
deeds	TKAOED/-Z
docking	TKOBG/-G
dunes	TKAOUPB/-Z
flecks	TPHREBG/-Z
fleshed	TPHRERB/-D
flinches	TPHREUFRPB/-Z
glands	TKPWHRAPBD/-Z
glasses	TKPWHRAS/-Z
goofed	TKPWAOF/-D
gouges	TKPWOUPBLG/-Z
grabbed	TKPWRAB/-D
hearings	HAER/-G/-Z
hosed	HOES/-D
loaves	HROEF/-Z
loves	HROF/-Z
pans	PAPB/-Z
parks	PARBG/-Z
pears	PAER/-Z
pitched	PEUFP/-D
preached	PRAOEFP/-D
prompted	PROPLT/-D
ranging	RAEUPBG/-G
ridges	REUPBLG/-Z
rocks	ROBG/-Z
saucers	SAURS/-Z
scolds	SKOELD/-Z
shacks	SHABG/-Z
shines	SHAOEUPB/-Z
skilled	SKEUL/-D
skis	SKEU/-Z
smiles	SPHAOEUL/-Z
snipped	STPHEUP/-D
soups	SAOUP/-Z
squeezes	SKWAOEZ/-Z
stalls	STAUL/-Z
stands	STAPBD/-Z
staples	STAEUPL/-Z
stopping	STOP/-G
stops	STOP/-Z
stored	STOR/-D
strained	STRAEUPB/-D
stroking	STROEBG/-G
stubs	STUB/-Z
switched	SWEUFP/-D
termed	TERPL/-D
thins	THEUPB/-Z
trainings	TRAEUPB/-G/-Z
walls	WAUL/-Z
washes	WAURB/-Z
wobbled	WOBL/-D
