accurate	A/KUR/KWRAT
aromatic	AEUR/KWROE/PHA/TEUBG
arrogant	AEUR/KWROE/TKPWAPBT
arrow	AEUR/KWROE
aspirin	AS/PEUR/KWREUPB
aura	AUR/KWRA
blurry	PWHRUR/KWREU
burglary	PWURG/HRAR/KWREU
capillary	KA/PEU/HRAR/KWREU
caricature	KAEUR/KWREU/KA/KHUR
character	KHAEUR/KWRABG/TER
compliant	KOPL/PHRAOEU/KWRAPBT
correct	KOR/KWREBGT
curate	KAOUR/KWRAEUT
decorous	TKE/KOR/KWRUS
diary	TKAOEU/KWRAR/KWREU
dysphoria	TKEUS/TPO*R/KWRA
eerie	AOER/KWRAOE
exasperate	EBG/SAS/PER/KWRAEUT
favorite	TPAEU/SROR/KWREUT
forensic	TPOR/KWREPB/SEUBG
gallery	TKPWA/HRER/KWREU
glossary	TKPWHRO/SAR/KWREU
heroic	HAOER/KWROE/KWREUBG
horrific	HOR/KWREU/TPEUBG
humorous	HAOU/PHOR/KWRUS
ignorance	EUG/TPHOR/KWRAPBS
immense	EUPL/KWREPBS
inherit	EUPB/HER/KWREUT
interrupt	EUPB/TER/KWRUPT
irritate	EUR/KWREU/TAEUT
ivory	AOEU/SROR/KWREU
juror	SKWRUR/KWROR
lateral	HRA/TER/KWRAL
laurel	HRAUR/KWREL
liberate	HREU/PWER/KWRAEUT
maceration	PHA/SER/KWRAEUGS
mandatory	PHAPB/TKA/TOR/KWREU
minerals	PHEU/TPHER/KWRAL/-Z
misery	PHEU/SER/KWREU
moderate	PHO/TKER/KWRAT
mulberry	PHUL/PWER/KWREU
neural	TPHAOUR/KWRAL
oracle	OR/KWRABG/-L
ordinary	OR/TKEU/TPHAEUR/KWREU
orifice	OR/KWREU/TPEUS
paragraph	PAEUR/KWRA/TKPWRAF
pectoral	PEBG/TOR/KWRAL
perforate	PER/TPOR/KWRAEUT
peripheral	PER/KWREU/TP*ER/KWRAL
plural	PHRUR/KWRAL
predatory	PRE/TKA/TOR/KWREU
recuperation	RE/KAOU/PER/KWRAEUGS
serenade	SER/KWRE/TPHAEUD
sparrow	SPAEUR/KWROE
special	SPERB/KWRAL
spirit	SPEUR/KWREUT
temperature	TEPL/PER/KWRA/KHUR
terrific	TER/KWREU/TPEUBG
theorem	THAOER/KWREPL
thorough	THOR/KWROE
tolerant	TO/HRER/KWRAPBT
torrent	TOR/KWREPBT
vary	SRAEUR/KWREU
wary	WAEUR/KWREU
