alien	AEUL/KWREPB
alleviation	A/HRAOEF/KWRAEUGS
alliance	A/HRAOEU/KWRAPBS
anterior	APB/TAOER/KWROR
arpeggiate	AR/PEPBLG/KWRAEUT
asphyxiate	AS/TP*EUBGS/KWRAEUT
bleariest	PWHRAOER/KWREFT
celsius	SELS/KWRUS
cheesiest	KHAOES/KWREFT
cilia	SEUL/KWRA
coaxial	KOE/ABGS/KWRAL
collegiate	KO/HRAOEPBLG/KWRAT
corneal	KORPB/KWRAL
corona	KOR/KWROE/TPHA
crayon	KRAEU/KWROPB
cyclopean	SAOEU/KHROP/KWRAPB
delineate	TKAOE/HREUPB/KWRAEUT
denunciation	TKE/TPHUPBS/KWRAEUGS
depreciate	TKAOE/PRAOERB/KWRAEUT
deviation	TKAOEF/KWRAEUGS
enunciation	AOE/TPHUPBS/KWRAEUGS
erroneous	ER/KWROEPB/KWRUS
euphoria	AOU/TPO*R/KWRA
familiar	TPA/PHEUL/KWRAR
fiesta	TPEU/KWRES/TA
flimsiest	TPHREUPLS/KWREFT
funereal	TPAOU/TPHER/KWRAL
geography	SKWRAOE/KWRO/TKPWRAF/KWREU
glacier	TKPWHRAEUS/KWRER
grandioso	TKPWRAPBD/KWROE/SOE
grievous	TKPWRAOEF/KWRUS
gyoza	TKPWEU/KWROE/STKPWA
hideous	HEUD/KWRUS
hilarious	HEU/HRAEUR/KWRUS
immune	EUPL/KWRAOUPB
imperial	EUPL/PAOER/KWRAL
initiate	EUPB/KWREURB/KWRAEUT
initiation	EUPB/KWREURB/KWRAEUGS
interior	EUPB/TAOER/KWROR
iridescence	EUR/KWREU/TKE/SEPBS
linear	HREUPB/KWRAR
matrilineal	PHA/TREU/HREUPB/KWRAL
medallion	PHE/TKAL/KWROPB
medial	PHAOED/KWRAL
mediate	PHAOED/KWRAEUT
miasma	PHAOEU/KWRAS/PHA
miasma	PHEU/KWRAS/PHA
naive	TPHAOEU/KWREUF
nosier	TPHOES/KWRER
oblivious	OB/HREUF/KWRUS
pediatric	PAOED/KWRA/TREUBG
permeate	PERPL/KWRAEUT
permeation	PERPL/KWRAEUGS
piazza	PEU/KWRA/STKPWA
pliable	PHRAOEU/KWRABL
precariously	PRE/KAEUR/KWRUS/HREU
quiescent	KWEU/KWRE/SEPBT
rebellious	RAOE/PWEL/KWRUS
repatriate	RAOE/PAEU/TREU/KWRAEUT
retaliate	RAOE/TAL/KWRAEUT
sapien	SAEUP/KWREPB
sassier	SAS/KWRER
satirical	SA/TEUR/KWREU/KAL
scenario	SE/TPHAEUR/KWROE
siesta	SEU/KWRES/TA
striation	STRAOEU/KWRAEUGS
swampiest	SWA*UPL/KWREFT
synovia	SEU/TPHOEF/KWRA
tedious	TAOED/KWRUS
theatrical	THAOE/KWRA/TREU/KAL
theology	THAOE/KWRO/HRO/SKWREU
trachea	TRAEUBG/KWRA
triad	TRAOEU/KWRAD
tritium	TREUT/KWRUPL
union	AOUPB/KWROPB
uranium	AOUR/KWRAEUPB/KWRUPL
venue	SREPB/KWRAOU
video	SREUD/KWROE
