a         AEU
about     PW
after     AF
again     TKPWEPB
also      HR-S
and       SKP
animal    PHAPBL
any       TPHEU
are       -R
ask       SK
be        -B
been      PW-PB
before    PW-FR
by        PWEU
can       K
could     KUD
did       TK
differ    TKEUFR
do        TKO
even      AOEFPB
every     EFR
first     TPEUFRT
follow    TPOL
for       TP-R
had       H
have      SR
help      HEP
high      HAO*EU
I         EU
if        TP
in        TPH
is        S
it        T
many      PHA*EPB
mother    PHO*RT
new       TPHU
no        TPHO
of        -F
one       WUPB
only      OEPBL
or        AUR
other     OER
over      AUFR
people    P
said      SED
self      SEFL
sentence  STEPBS
so        SO
that      THA
their     THAEUR
there     THR
the       -T
they      THE
think     THEU
this      TH
through   THRU
too       TAO
to        TO
try       TREU
two       TWO
under     TPH-PB
very      SRE
were      WR
what      WHA
when      WH
where     W-R
which     WEU
who       WHO
why       KWH
will      HR
with      W
would     WUD
your      KWHUR
you       U
