directory	TKAOEU/REBG/TOER
repository	RAOE/PO/SEU/TOER
ivory	AOEU/SROER
circulatory	SEUR/KAOU/HRA/TOER
advisory	AD/SRAOEUZ/KWROER
factory	TPABG/TOER
trajectory	TRA/SKWREBG/TOER
statutory	STA/KHAOU/TOER
glory	TKPWHROER
prehistory	PRE/HEUS/TOER
sensory	SEPBS/KWROER
sorry	SOER
story	STOER
migratory	PHAOEUG/RA/TOER
auditory	AU/TKEU/TOER
regulatory	RE/TKPWAOU/HRA/TOER
predatory	PRE/TKA/TOER
defamatory	TKE/TPA/PHA/TOER
compulsory	KOPL/PUL/SOER
accessory	ABG/SE/SOER
celebratory	SE/HRE/PWRA/TOER
memory	PHE/PHOER
history	HEUS/TOER
gory	TKPWOER
expiratory	EBGS/PEUR/KWRA/TOER
oratory	OR/KWRA/TOER
allegory	A/HRE/TKPWOER
unsatisfactory	UPB/SA/TEUS/TPABG/TOER
observatory	OB/SER/SRA/TOER
territory	TER/KWREU/TOER
biliary	PWEU/HREU/KWRAER
commentary	KO/PHEPB/TAER
papillary	PA/PEU/HRAER
penitentiary	PE/TPHEU/TEPB/SHEU/KWRAER
diary	TKEU/KWRAER
supernumerary	SAOU/PER/TPHAOU/PHER/KWRAER
barbary	PWAR/PWAER
aviary	AEUF/KWRAER
judiciary	SKWRAOU/TKEURB/KWRAER
cavitary	KA/SREU/TAER
obituary	OE/PWEUFP/WAER
complementary	KOPL/PHREPLT/KWRAER
unitary	AOU/TPHEU/TAER
ovary	OE/SRAER
fragmentary	TPRAG/-PLT/KWRAER
sanitary	SA/TPHEU/TAER
summary	SU/PHAER
proprietary	PROE/PRAOEU/KWRE/TAER
momentary	PHOEPLT/KWRAER
temporary	TEPL/POR/KWRAER
boundary	PWOUPB/TKAER
primary	PRAOEU/PHAER
dictionary	TKEUBGS/KWRAER
involuntary	EUPB/SRO/HRUPB/TAER
elementary	E/HREPLT/KWRAER
literary	HREU/TER/KWRAER
monetary	PHO/TPHE/TAER
adversary	AD/SRER/SAER
arbitrary	AR/PWEU/TRAER
synchrony	SEUPB/KROEPB
disharmony	TKEUS/HAR/PHOEPB
lobectomy	HROE/PWEBG/TOEPL
testimony	TES/TEU/PHOEPB
antimony	APB/TEU/PHOEPB
parsimony	PAR/SEU/PHOEPB
matrimony	PHA/TREU/PHOEPB
entropy	EPB/TROEP
sanctimony	SAPBG/TEU/PHOEPB
harmony	HAR/PHOEPB
pneumectomy	TPHAOU/PHEBG/TOEPL
idiocy	EUD/KWROES
ectopy	EBG/TOEP
