abruptly	A/PWRUPLT
absolutely	AB/SO/HRAOULT
analogously	A/TPHAL/TKPWULS
consistently	KOPB/SEUFT/KWREPBLT
elaborately	E/HRAB/RALT
flagrantly	TPHRA/TKPWRAPBLT
horrendously	HOR/KWREPB/TKULS
incoherently	EUPB/KOE/HAOERPBLT
innocently	EUPB/KWROE/SEPBLT
instantly	EUPB/STAPBLT
joyously	SKWROEU/KWRULS
mischievously	PHEUS/KHAOEF/KWRULS
obviously	OB/SREU/KWRULS
ornately	OR/TPHAEULT
patiently	PAEU/SHEPBLT
persistently	PER/SEUFT/KWREPBLT
pompously	POPL/PULS
precariously	PRE/KAEURLS
precisely	PRE/SAOEULS
predominantly	PRE/TKO/PHEU/TPHAPBLT
redundantly	RAOE/TKUPB/TKAPBLT
redundantly	RE/TKUPB/TKAPBLT
secondly	SE/KOPBLD
separately	SEP/RAEULT
silently	SAOEU/HREPBLT
subsequently	SUB/SE/KWEPBLT
urgently	UR/SKWREPBLT
veraciously	SRER/KWRAEURBLS
vigorously	SREUG/RULS
voraciously	SROR/KWRAEU/SHULS
