comply	KPHRAOEU
commissioner	KPHEUGS/*ER
companion	KPAPB/KWROPB
compute	KPAOUT
command	KPHAPBD
comment	KPHEPBT
complete	KPHRAOET
commonwealth	KPHOPB/W*ELT
compliance	KPHRAOEUPBS
complainer	KPHRAEUPB/*ER
campaign	KPAEUPB
capacitor	KPAS/TOR
communication	KPHAOUPB/KAEUGS
compound	KPOUPBD
comprise	KPRAOEUS
compartment	KPARPLT
compass	KPAS
compete	KPAOET
extrapolate	KPRA/PO/HRAEUGT
community	KPHAOUPB/TEU
commodity	KPHOD/TEU
compare	KPAEUR
compel	KPEL
common	KPHOPB
commute	KPHAOUT
compact	KPABGT
combine	KPWAOEUPB
commit	KPHEUT
combustible	KPWUFT/-BL
combustion	KPWUFGS
comeback	KPWABG
combat	KPWAT
entrust	SPWRUFT
entertain	SPWER/TAEUPB
intern	SPWERPB
interrupt	SPWRUPT
intelligence	SPWELGS
entry	SPWREU
entirely	SPWAOEURL
intense	SPWEPBS
intrude	SPWRAOUD
intimidate	SPWEUPL/TKAEUT
interaction	SPWRABGS
intoxicate	SPWOBGS/KAEUT
intensity	SPWEPBS/TEU
intention	SPWEPBGS
intentional	SPWEPBGLS
enthrall	SPWRAUL
enter	SPWER
entropy	SPWROEP
entrant	SPWRAPBT
entire	SPWAOEUR
entreat	SPWRAOET
entrain	SPWRAEUPB
entrance	SPWRAPBS
entrail	SPWRAEUL
discernible	STKERPB/-BL
destructor	STKRURBGT
destruction	STKRUBGS
descend	STKEPBD
dislodge	STKHROPBLG
disable	STKAEUBL
dispose	STKPOES
deserve	STKEFRB
discern	STKERPB
distraction	STKRABGS
display	STKPHRAEU
despicable	STKPEUBG/-BL
distortion	STKORGS
disguise	STKPWAOEUS
dislike	STKHRAOEUBG
design	STKAOEUPB
dispense	STKPEPBS
distance	STKAPBS
dispatch	STKPAFP
desire	STKAOEUR
disease	STKAOES
despise	STKPAOEUS
displace	STKPHRAEUS
dispute	STKPAOUT
decision	STKEUGS
disturb	STKURB
deceit	STKAOET
dismay	STKPHAEU
disappoint	STKPOEUPBT
disappear	STKPAOER
survived	SWAOEUFD
survival	SWAOEUFL
survivor	SWAOEUFR
perseverance	PER/SWAOERPBS
persevere	PER/SWAOER
severe	SWAOER
severely	SWAOERL
devoid	TKWOEUD
devolve	TKWOFL
division	TKWEUGS
devour	TKWOUR
divest	TKWEFT
devote	TKWOET
diversify	TKWERS/TPAOEU
divide	TKWAOEUD
devout	TKWOUT
divert	TKWERT
device	TKWAOEUS
devotee	TKWOET/KWRAOE
devoted	TKWOETD
divorcee	TKWOR/SAOE
divinity	TKWEUPBT
divine	TKWAOEUPB
diversion	TKWERGS
divorce	TKWORS
diverge	TKWERPBLG
divisible	TKWEUFBL
divergence	TKWERPBLG/KWREPBS
