flagrantly	TPHRA/TKPWRAPBLT
urgently	UR/SKWREPBLT
absolutely	AB/SO/HRAOULT
innocently	EUPB/KWROE/SEPBLT
persistently	PER/SEUFT/KWREPBLT
joyously	SKWROEU/KWRULS
patiently	PAEU/SHEPBLT
precariously	PRE/KAEURLS
precisely	PRE/SAOEULS
subsequently	SUB/SE/KWEPBLT
instantly	EUPB/STAPBLT
voraciously	SROR/KWRAEU/SHULS
separately	SEP/RAEULT
redundantly	RAOE/TKUPB/TKAPBLT
predominantly	PRE/TKO/PHEU/TPHAPBLT
secondly	SE/KOPBLD
consistently	KOPB/SEUFT/KWREPBLT
analogously	A/TPHAL/TKPWULS
pompously	POPL/PULS
incoherently	EUPB/KOE/HAOERPBLT
redundantly	RE/TKUPB/TKAPBLT
obviously	OB/SREU/KWRULS
mischievously	PHEUS/KHAOEF/KWRULS
elaborately	E/HRAB/RALT
silently	SAOEU/HREPBLT
vigorously	SREUG/RULS
veraciously	SRER/KWRAEURBLS
horrendously	HOR/KWREPB/TKULS
abruptly	A/PWRUPLT
ornately	OR/TPHAEULT
