chill	KHEUL
chip	KHEUP
chit	KHEUT
hid	HEUD
hig	HEUG
hill	HEUL
hip	HEUP
his	HEUS
hit	HEUT
kid	KEUD
kill	KEUL
kip	KEUP
kiss	KEUS
kit	KEUT
krill	KREUL
pig	PEUG
pill	PEUL
pip	PEUP
pit	PEUT
rib	REUB
rid	REUD
riff	REUF
rig	REUG
rill	REUL
rip	REUP
rizz	REUZ
shill	SHEUL
ship	SHEUP
sieve	SEUF
sill	SEUL
sip	SEUP
sir	SEUR
sis	SEUS
sit	SEUT
skid	SKEUD
skiff	SKEUF
skill	SKEUL
skip	SKEUP
skit	SKEUT
spiff	SPEUF
spill	SPEUL
spit	SPEUT
stiff	STEUF
still	STEUL
stip	STEUP
stir	STEUR
tid	TEUD
till	TEUL
tip	TEUP
trig	TREUG
trill	TREUL
trip	TREUP
wig	WEUG
will	WEUL
wit	WEUT
