chad    KHAD
chaff   KHAF
chap    KHAP
char    KHAR
chat    KHAT
chess   KHES
chop    KHOP
chore   KHOR
chub    KHUB
chug    KHUG
crab    KRAB
crag    KRAG
crap    KRAP
crass   KRAS
cred    KRED
cress   KRES
crop    KROP
cross   KROS
crud    KRUD
prag    PRAG
prat    PRAT
pref    PREF
prep    PREP
press   PRES
prod    PROD
prof    PROF
prop    PROP
scab    SKAB
scad    SKAD
scar    SKAR
scat    SKAT
scoff   SKOF
score   SKOR
scot    SKOT
scud    SKUD
scuff   SKUF
shad    SHAD
shag    SHAG
shall   SHAL
shat    SHAT
shed    SHED
shell   SHEL
shod    SHOD
shop    SHOP
shore   SHOR
shot    SHOT
shove   SHOF
shrub   SHRUB
shut    SHUT
skull   SKUL
spag    SPAG
spar    SPAR
spat    SPAT
spazz   SPAZ
sped    SPED
spell   SPEL
spore   SPOR
spot    SPOT
spud    SPUD
spur    SPUR
stab    STAB
staff   STAF
stag    STAG
star    STAR
stat    STAT
stead   STED
step    STEP
stet    STET
stop    STOP
store   STOR
stub    STUB
stud    STUD
stuff   STUF
sure    SHUR
thread  THRED
threat  THRET
throb   THROB
thud    THUD
thug    THUG
thus    THUS
trad    TRAD
trap    TRAP
tread   TRED
tress   TRES
trod    TROD
trot    TROT
truss   TRUS
