cab    KAB
cad    KAD
cap    KAP
car    KAR
cat    KAT
cod    KOD
cog    KOG
cop    KOP
core   KOR
cot    KOT
could  KUD
cub    KUB
cuff   KUF
cull   KUL
cup    KUP
cur    KUR
cuss   KUS
cut    KUT
had    HAD
hag    HAG
half   HAF
har    HAR
has    HAS
hat    HAT
head   HED
hell   HEL
her    HER
het    HET
hid    HEUD
hig    HEUG
hill   HEUL
hip    HEUP
his    HEUS
hit    HEUT
hog    HOG
hop    HOP
hot    HOT
hub    HUB
huff   HUF
hug    HUG
hull   HUL
hut    HUT
keg    KEG
ker    KER
kid    KEUD
kill   KEUL
kip    KEUP
kiss   KEUS
kit    KEUT
krill  KREUL
pad    PAD
pal    PAL
pap    PAP
par    PAR
pass   PAS
pat    PAT
peg    PEG
pep    PEP
per    PER
pet    PET
pez    PEZ
pig    PEUG
pill   PEUL
pip    PEUP
pit    PEUT
pod    POD
poll   POL
pop    POP
pore   POR
pos    POS
pot    POT
pub    PUB
puff   PUF
pug    PUG
pull   PUL
pup    PUP
pus    PUS
put    PUT
raab   RAB
rad    RAD
rag    RAG
rap    RAP
rar    RAR
rat    RAT
raz    RAZ
red    RED
ref    REF
rep    REP
ret    RET
rib    REUB
rid    REUD
riff   REUF
rig    REUG
rill   REUL
rip    REUP
rizz   REUZ
roar   ROR
rob    ROB
rod    ROD
roll   ROL
rot    ROT
rough  RUF
rub    RUB
rudd   RUD
rug    RUG
rut    RUT
sad    SAD
sag    SAG
said   SED
sap    SAP
sass   SAS
sat    SAT
seb    SEB
sell   SEL
set    SET
sill   SEUL
sip    SEUP
sir    SEUR
sis    SEUS
sit    SEUT
sob    SOB
sod    SOD
sog    SOG
sol    SOL
sop    SOP
sore   SOR
sup    SUP
tab    TAB
tad    TAD
tag    TAG
tap    TAP
tar    TAR
tat    TAT
tell   TEL
ter    TER
tid    TEUD
till   TEUL
tip    TEUP
toll   TOL
top    TOP
tore   TOR
tough  TUF
tub    TUB
tug    TUG
wab    WAB
wag    WAG
war    WAR
was    WAS
web    WEB
wed    WED
weg    WEG
well   WEL
wet    WET
wig    WEUG
will   WEUL
wit    WEUT
wop    WOP
wore   WOR
