bab    PWAB
bad    PWAD
bag    PWAG
bar    PWAR
bat    PWAT
bed    PWED
beg    PWEG
bell   PWEL
bet    PWET
bib    PWEUB
bid    PWEUD
biff   PWEUF
big    PWEUG
bill   PWEUL
bit    PWEUT
biz    PWEUZ
blab   PWHRAB
bleb   PWHREB
bled   PWHRED
bless  PWHRES
blip   PWHREUP
bliss  PWHREUS
blob   PWHROB
blog   PWHROG
blot   PWHROT
blub   PWHRUB
bluff  PWHRUF
blup   PWHRUP
blur   PWHRUR
bob    PWOB
bog    PWOG
bop    PWOP
bore   PWOR
boss   PWOS
bot    PWOT
bub    PWUB
bud    PWUD
buff   PWUF
bug    PWUG
bull   PWUL
burr   PWUR
bus    PWUS
but    PWUT
buzz   PWUZ
dab    TKAB
dad    TKAD
dap    TKAP
dat    TKAT
dead   TKED
deaf   TKEF
debt   TKET
dell   TKEL
der    TKER
dib    TKEUB
did    TKEUD
diff   TKEUF
dig    TKEUG
dill   TKEUL
dip    TKEUP
dir    TKEUR
dizz   TKEUZ
does   TKOS
dog    TKOG
doll   TKOL
dot    TKOT
dove   TKOF
dub    TKUB
dud    TKUD
dug    TKUG
dull   TKUL
lab    HRAB
lad    HRAD
lag    HRAG
lap    HRAP
lass   HRAS
laugh  HRAF
led    HRED
leg    HREG
less   HRES
let    HRET
lib    HREUB
lid    HREUD
lip    HREUP
lit    HREUT
live   HREUF
lob    HROB
log    HROG
lol    HROL
lop    HROP
lore   HROR
loss   HROS
lot    HROT
love   HROF
lub    HRUB
luff   HRUF
lug    HRUG
lull   HRUL
lure   HRUR
