fab    TPAB
fad    TPAD
far    TPAR
fat    TPAT
fed    TPED
fell   TPEL
fess   TPES
fez    TPEZ
fib    TPEUB
fill   TPEUL
fir    TPEUR
fit    TPEUT
fizz   TPEUZ
fob    TPOB
fog    TPOG
fop    TPOP
full   TPUL
fur    TPUR
fuss   TPUS
fuzz   TPUZ
mad    PHAD
map    PHAP
mar    PHAR
mass   PHAS
mat    PHAT
mess   PHES
met    PHET
miff   PHEUF
mill   PHEUL
mit    PHEUT
mob    PHOB
mod    PHOD
moll   PHOL
mop    PHOP
more   PHOR
moss   PHOS
mud    PHUD
muff   PHUF
mug    PHUG
mull   PHUL
muss   PHUS
mutt   PHUT
quar   KWAR
quell  KWEL
quid   KWEUD
quill  KWEUL
quip   KWEUP
quit   KWEUT
quiz   KWEUZ
