ace       AEUS
aid       AEUD
ail       AEUL
air       AEUR
ape       AEUP
babe      PWAEUB
bade      PWAEUD
bail      PWAEUL
bait      PWAEUT
bare      PWAEUR
base      PWAEUS
blade     PWHRAEUD
blare     PWHRAEUR
blaze     PWHRAEUZ
brace     PWRAEUS
braid     PWRAEUD
braille   PWRAEUL
braze     PWRAEUZ
cape      KAEUP
care      KAEUR
case      KAEUS
chair     KHAEUR
chase     KHAEUS
crate     KRAEUT
craze     KRAEUZ
crepe     KRAEUP
dare      TKAEUR
date      TKAEUT
daze      TKAEUZ
drape     TKRAEUP
face      TPAEUS
fade      TPAEUD
fail      TPAEUL
fair      TPAEUR
fate      TPAEUT
faze      TPAEUZ
flail     TPHRAEUL
flair     TPHRAEUR
flate     TPHRAEUT
frail     TPRAEUL
freight   TPRAEUT
gait      TKPWAEUT
gape      TKPWAEUP
gaze      TKPWAEUZ
glace     TKPWHRAEUS
glade     TKPWHRAEUD
glare     TKPWHRAEUR
glaze     TKPWHRAEUZ
grace     TKPWRAEUS
grade     TKPWRAEUD
grail     TKPWRAEUL
grape     TKPWRAEUP
grate     TKPWRAEUT
graze     TKPWRAEUZ
hail      HAEUL
hair      HAEUR
hate      HAEUT
haze      HAEUZ
jade      SKWRAEUD
jail      SKWRAEUL
kale      KAEUL
labor     HRAEUB
lace      HRAEUS
laid      HRAEUD
late      HRAEUT
laze      HRAEUZ
mace      PHAEUS
maid      PHAEUD
mail      PHAEUL
maize     PHAEUZ
mate      PHAEUT
nail      TPHAEUL
nape      TPHAEUP
pace      PAEUS
paid      PAEUD
pail      PAEUL
pair      PAEUR
pate      PAEUT
place     PHRAEUS
plate     PHRAEUT
praise    PRAEUS
quail     KWAEUL
quare     KWAEUR
race      RAEUS
raid      RAEUD
rail      RAEUL
rare      RAEUR
rate      RAEUT
safe      SAEUF
sail      SAEUL
sate      SAEUT
scale     SKAEUL
scape     SKAEUP
scare     SKAEUR
scrape    SKRAEUP
shade     SHAEUD
shale     SHAEUL
shape     SHAEUP
share     SHAEUR
skate     SKAEUT
slate     SHRAEUT
snail     STPHAEUL
snare     STPHAEUR
space     SPAEUS
spade     SPAEUD
spare     SPAEUR
spate     SPAEUT
square    SKWAEUR
stair     STAEUR
stale     STAEUL
state     STAEUT
strafe    STRAEUF
straight  STRAEUT
swear     SWAEUR
tail      TAEUL
tape      TAEUP
their     THAEUR
trace     TRAEUS
trade     TRAEUD
trail     TRAEUL
trait     TRAEUT
vague     SRAEUG
vape      SRAEUP
vase      SRAEUS
veil      SRAEUL
wabe      WAEUB
wade      WAEUD
waif      WAEUF
wail      WAEUL
wait      WAEUT
ware      WAEUR
