boule	PWAOUL
bruise	PWRAOUS
brute	PWRAOUT
chute	SHAOUT
coup	KAOUP
croup	KRAOUP
crude	KRAOUD
cruel	KRAOUL
cube	KAOUB
cure	KAOUR
cute	KAOUT
druid	TKRAOUD
drupe	TKRAOUP
dual	TKAOUL
dude	TKAOUD
dupe	TKAOUP
dure	TKAOUR
feud	TPAOUD
flute	TPHRAOUT
fruit	TPRAOUT
fuel	TPAOUL
fugue	TPAOUG
fuse	TPAOUS
fuze	TPAOUZ
ghoul	TKPWAOUL
glute	TKPWHRAOUT
group	TKPWRAOUP
gruel	TKPWRAOUL
jewel	SKWRAOUL
juice	SKWRAOUS
lose	HRAOUS
lube	HRAOUB
lure	HRAOUR
lute	HRAOUT
mule	PHAOUL
mure	PHAOUR
muse	PHAOUS
mute	PHAOUT
newt	TPHAOUT
pube	PAOUB
pure	PAOUR
route	RAOUT
rude	RAOUD
rule	RAOUL
ruse	RAOUS
sewer	SAOUR
shrewd	SHRAOUD
sluice	SHRAOUS
soup	SAOUP
spruce	SPRAOUS
suit	SAOUT
tour	TAOUR
troupe	TRAOUP
truce	TRAOUS
tube	TAOUB
use	AOUS
