bloat    PWHROET
blouse   PWHROUS
boat     PWOET
bode     PWOED
boil     PWOEUL
bout     PWOUT
bowel    PWOUL
bower    PWOUR
bowl     PWOEL
broil    PWROEUL
browse   PWROUS
cloud    KHROUD
clout    KHROUT
code     KOED
cower    KOUR
cowl     KOUL
crowd    KROUD
dole     TKOEL
dose     TKOES
doubt    TKOUT
dour     TKOUR
douse    TKOUS
dowel    TKOUL
dowse    TKOUZ
drought  TKROUT
drowse   TKROUS
flour    TPHROUR
flout    TPHROUT
fore     TPOER
foul     TPOUL
froze    TPROEZ
globe    TKPWHROEB
goad     TKPWOED
goal     TKPWOEL
gout     TKPWOUT
grouse   TKPWROUS
grove    TKPWROEF
hole     HOEL
hope     HOEP
hose     HOES
hour     HOUR
house    HOUS
howl     HOUL
jowl     SKWROUL
knoll    TPHOEL
loaf     HROEF
lobe     HROEB
lode     HROED
lope     HROEP
loud     HROUD
lout     HROUT
loyal    HROEUL
moat     PHOET
mode     PHOED
mole     PHOEL
mope     PHOEP
mouse    PHOUS
noise    TPHOEUS
nose     TPHOES
oaf      OEF
oat      OET
oil      OEUL
our      OUR
owl      OUL
poise    POEUS
pole     POEL
pope     POEP
pose     POES
pout     POUT
power    POUR
probe    PROEB
prole    PROEL
prose    PROES
proud    PROUD
prowl    PROUL
robe     ROEB
rode     ROED
rogue    ROEG
role     ROEL
rope     ROEP
rose     ROES
rote     ROET
rouse    ROUS
route    ROUT
royal    ROEUL
scope    SKOEP
scour    SKOUR
scout    SKOUT
scowl    SKOUL
shout    SHOUT
shower   SHOUR
shroud   SHROUD
slope    SHROEP
snout    STPHOUT
soap     SOEP
sour     SOUR
spoil    SPOEUL
spouse   SPOUS
spout    SPOUT
sprout   SPROUT
stole    STOEL
stout    STOUT
strobe   STROEB
stroll   STROEL
those    THOES
toil     TOEUL
tout     TOUT
towel    TOUL
tower    TOUR
troll    TROEL
trout    TROUT
trowel   TROUL
voice    SROEUS
vole     SROEL
vote     SROET
vowel    SROUL
