stair	STAEUR
steel	STAOEL
sheer	SHAOER
veil	SRAEUL
seer	SAOER
sail	SAEUL
grate	TKPWRAEUT
gait	TKPWAEUT
deer	TKAOER
flair	TPHRAEUR
fair	TPAEUR
feet	TPAOET
tare	TAEUR
tail	TAEUL
cheep	KHAOEP
bare	PWAEUR
bail	PWAEUL
beet	PWAOET
meet	PHAOET
maid	PHAEUD
maize	PHAEUZ
pair	PAEUR
pail	PAEUL
piece	PAOES
ware	WAEUR
here	HAOER
heel	HAOEL
reel	RAOEL
reed	RAOED
ail	AEUL
eight	AEUT
stare	STAER
steal	STAEL
shear	SHAER
vale	SRAEL
sear	SAER
sale	SAEL
great	TKPWRAET
gate	TKPWAET
dear	TKAER
flare	TPHRAER
fare	TPAER
feat	TPAET
tear	TAER
tale	TAEL
cheap	KHAEP
bread	PWRAED
bear	PWAER
bale	PWAEL
beat	PWAET
male	PHAEL
meat	PHAET
made	PHAED
maze	PHAEZ
pear	PAER
pale	PAEL
peace	PAES
wear	WAER
hear	HAER
heal	HAEL
real	RAEL
read	RAED
ale	AEL
ate	AET
