blood   PWHRAOD
bloop   PWHRAOP
boar    PWAOR
bool    PWAOL
boot    PWAOT
booze   PWAOZ
brood   PWRAOD
choose  KHAOS
cool    KAOL
coop    KAOP
dood    TKAOD
doop    TKAOP
door    TKAOR
doot    TKAOT
drool   TKRAOL
droop   TKRAOP
flood   TPHRAOD
floof   TPHRAOF
floor   TPHRAOR
food    TPAOD
fool    TPAOL
foot    TPAOT
gloop   TKPWHRAOP
good    TKPWAOD
goof    TKPWAOF
goop    TKPWAOP
goose   TKPWAOS
hood    HAOD
hoof    HAOF
hoop    HAOP
hoot    HAOT
load    HRAOD
loaf    HRAOF
loop    HRAOP
loose   HRAOS
loot    HRAOT
mood    PHAOD
moor    PHAOR
moose   PHAOS
moot    PHAOT
noob    TPHAOB
noose   TPHAOS
oar     AOR
oof     AOF
ooze    AOZ
poof    PAOF
pool    PAOL
poop    PAOP
poor    PAOR
proof   PRAOF
road    RAOD
roof    RAOF
root    RAOT
school  SKAOL
scoop   SKAOP
scoot   SKAOT
shoot   SHAOT
sloop   SHRAOP
snoop   STPHAOP
snoot   STPHAOT
snooze  STPHAOZ
soar    SAOR
soot    SAOT
spoof   SPAOF
spool   SPAOL
stood   STAOD
stool   STAOL
stoop   STAOP
swoop   SWAOP
toad    TAOD
tool    TAOL
toot    TAOT
troop   TRAOP
wood    WAOD
woof    WAOF
wool    WAOL
woop    WAOP
woot    WAOT
