bead     PWAOED
beef     PWAOEF
beep     PWAOEP
beer     PWAOER
beet     PWAOET
blear    PWHRAOER
bleat    PWHRAOET
bleed    PWHRAOED
bleep    PWHRAOEP
breed    PWRAOED
breeze   PWRAOEZ
brief    PWRAOEF
cheat    KHAOET
cheep    KHAOEP
cheer    KHAOER
cheese   KHAOES
chief    KHAOEF
clear    KHRAOER
cleat    KHRAOET
cleave   KHRAOEF
crease   KRAOES
creed    KRAOED
creel    KRAOEL
creep    KRAOEP
deal     TKAOEL
deed     TKAOED
deep     TKAOEP
deer     TKAOER
dweeb    TKWAOEB
ear      AOER
ease     AOES
eat      AOET
eel      AOEL
eep      AOEP
eve      AOEF
fear     TPAOER
feed     TPAOED
feel     TPAOEL
feet     TPAOET
fleece   TPHRAOES
fleet    TPHRAOET
freed    TPRAOED
freeze   TPRAOEZ
gear     TKPWAOER
geese    TKPWAOES
grease   TKPWRAOES
greed    TKPWRAOED
greet    TKPWRAOET
grief    TKPWRAOEF
heap     HAOEP
heat     HAOET
heed     HAOED
heel     HAOEL
here     HAOER
jeep     SKWRAOEP
jeer     SKWRAOER
jeez     SKWRAOEZ
keel     KAOEL
keep     KAOEP
kneel    TPHAOEL
lead     HRAOED
leaf     HRAOEF
league   HRAOEG
leap     HRAOEP
leer     HRAOER
leet     HRAOET
meal     PHAOEL
meet     PHAOET
mere     PHAOER
neap     TPHAOEP
near     TPHAOER
neat     TPHAOET
need     TPHAOED
niece    TPHAOES
peat     PAOET
peed     PAOED
peel     PAOEL
peep     PAOEP
peer     PAOER
piece    PAOES
plead    PHRAOED
pleat    PHRAOET
quease   KWAOES
queer    KWAOER
reap     RAOEP
rear     RAOER
reed     RAOED
reef     RAOEF
reel     RAOEL
rete     RAOET
screed   SKRAOED
seal     SAOEL
seat     SAOET
seed     SAOED
seep     SAOEP
seer     SAOER
seize    SAOEZ
sheaf    SHAOEF
sheep    SHAOEP
sheer    SHAOER
sheet    SHAOET
skeet    SKAOET
sleaze   SHRAOEZ
sleep    SHRAOEP
sleet    SHRAOET
smear    SPHAOER
sneer    STPHAOER
sneeze   STPHAOEZ
spear    SPAOER
speed    SPAOED
spiel    SPAOEL
squeal   SKWAOEL
squeeze  SKWAOEZ
steed    STAOED
steel    STAOEL
steep    STAOEP
steer    STAOER
street   STRAOET
sweep    SWAOEP
sweet    SWAOET
teal     TAOEL
teat     TAOET
these    THAOES
thief    THAOEF
tier     TAOER
treat    TRAOET
tweed    TWAOED
tweet    TWAOET
tweeze   TWAOEZ
veal     SRAOEL
veep     SRAOEP
veer     SRAOER
weed     WAOED
weep     WAOEP
weir     WAOER
