bide    PWAOEUD
bile    PWAOEUL
bite    PWAOEUT
blight  PWHRAOEUT
bribe   PWRAOEUB
bride   PWRAOEUD
bright  PWRAOEUT
chide   KHAOEUD
chive   KHAOEUF
choir   KWAOEUR
cried   KRAOEUD
dial    TKAOEUL
dice    TKAOEUS
dire    TKAOEUR
drive   TKRAOEUF
dryer   TKRAOEUR
fight   TPAOEUT
file    TPAOEUL
fire    TPAOEUR
five    TPAOEUF
flight  TPHRAOEUT
fried   TPRAOEUD
fright  TPRAOEUT
glide   TKPWHRAOEUD
gripe   TKPWRAOEUP
guide   TKPWAOEUD
height  HAOEUT
hide    HAOEUD
hype    HAOEUP
ice     AOEUS
ipe     AOEUP
ire     AOEUR
jibe    SKWRAOEUB
kite    KAOEUT
knife   TPHAOEUF
liar    HRAOEUR
lice    HRAOEUS
life    HRAOEUF
light   HRAOEUT
mice    PHAOEUS
might   PHAOEUT
mile    PHAOEUL
mire    PHAOEUR
nice    TPHAOEUS
night   TPHAOEUT
pile    PAOEUL
pipe    PAOEUP
plight  PHRAOEUT
price   PRAOEUS
pride   PRAOEUD
prior   PRAOEUR
prize   PRAOEUZ
pyre    PAOEUR
quite   KWAOEUT
rice    RAOEUS
ride    RAOEUD
rife    RAOEUF
right   RAOEUT
rile    RAOEUL
ripe    RAOEUP
scribe  SKRAOEUB
side    SAOEUD
sight   SAOEUT
sire    SAOEUR
size    SAOEUZ
slice   SHRAOEUS
slide   SHRAOEUD
slight  SHRAOEUT
smile   SPHAOEUL
smite   SPHAOEUT
snide   STPHAOEUD
snipe   STPHAOEUP
spice   SPAOEUS
spire   SPAOEUR
spite   SPAOEUT
splice  SPHRAOEUS
sprite  SPRAOEUT
squire  SKWAOEUR
stride  STRAOEUD
strife  STRAOEUF
stripe  STRAOEUP
style   STAOEUL
swipe   SWAOEUP
thrice  THRAOEUS
tide    TAOEUD
tight   TAOEUT
tile    TAOEUL
tire    TAOEUR
trial   TRAOEUL
tribe   TRAOEUB
trice   TRAOEUS
tripe   TRAOEUP
trite   TRAOEUT
twice   TWAOEUS
type    TAOEUP
vibe    SRAOEUB
vice    SRAOEUS
vile    SRAOEUL
vise    SRAOEUZ
wide    WAOEUD
wife    WAOEUF
wile    WAOEUL
wipe    WAOEUP
wire    WAOEUR
wise    WAOEUS
