all      AUL
aught    AUT
ball     PWAUL
baud     PWAUD
bought   PWAUT
brawl    PWRAUL
broad    PWRAUD
brought  PWRAUT
call     KAUL
caught   KAUT
cause    KAUS
clause   KHRAUS
cough    KAUF
crawl    KRAUL
daub     TKAUB
dawg     TKAUG
drawl    TKRAUL
fall     TPAUL
fought   TPAUT
fraud    TPRAUD
fraught  TPRAUT
gall     TKPWAUL
gauze    TKPWAUZ
gawd     TKPWAUD
hall     HAUL
laud     HRAUD
mall     PHAUL
naught   TPHAUT
pause    PAUS
quad     KWAUD
rawr     RAUR
sauce    SAUS
scrawl   SKRAUL
shawl    SHAUL
small    SPHAUL
sought   SAUT
sprawl   SPRAUL
squab    SKWAUB
squad    SKWAUD
squall   SKWAUL
squat    SKWAUT
stahp    STAUP
stall    STAUL
suave    SWAUF
swab     SWAUB
swap     SWAUP
swat     SWAUT
tall     TAUL
taught   TAUT
thought  THAUT
thrall   THRAUL
trawl    TRAUL
trough   TRAUF
wad      WAUD
wall     WAUL
watt     WAUT
yacht    KWHAUT
