ache     AEUBG
ack      ABG
aim      AEUPL
alm      AUPL
am       APL
awk      AUBG
back     PWABG
bake     PWAEUBG
balm     PWAUPL
bam      PWAPL
beak     PWAOEBG
beam     PWAEPL
beam     PWAOEPL
bike     PWAOEUBG
black    PWHRABG
blame    PWHRAEUPL
bleak    PWHRAOEBG
block    PWHROBG
bloke    PWHROEBG
bloom    PWHRAOPL
bock     PWOBG
bomb     PWOPL
book     PWAOBG
boom     PWAOPL
brake    PWRAEUBG
break    PWRAEBG
brick    PWREUBG
brim     PWREUPL
broke    PWROEBG
brook    PWRAOBG
broom    PWRAOPL
buck     PWUBG
bum      PWUPL
cake     KAEUBG
calm     KAUPL
came     KAEUPL
cam      KAPL
caulk    KAUBG
chalk    KHAUBG
check    KHEBG
cheek    KHAOEBG
chick    KHEUBG
chime    KHAOEUPL
chock    KHOBG
choke    KHOEBG
chrome   KROEPL
chuck    KHUBG
chum     KHUPL
clack    KHRABG
claim    KHRAEUPL
clam     KHRAPL
click    KHREUBG
climb    KHRAOEUPL
cloak    KHROEBG
clock    KHROBG
cluck    KHRUBG
coke     KOEBG
comb     KOEPL
come     KOPL
cook     KAOBG
crack    KRABG
cram     KRAPL
creak    KRAEBG
cream    KRAOEPL
creek    KRAOEBG
creme    KREPL
crick    KREUBG
crime    KRAOEUPL
cripple  KREUPL
croak    KROEBG
crock    KROBG
crook    KRAOBG
crumb    KRUPL
dame     TKAEUPL
damn     TKAEPL
dam      TKAPL
deck     TKEBG
deem     TKAOEPL
dike     TKAOEUBG
dime     TKAOEUPL
dim      TKEUPL
dock     TKOBG
dom      TKOPL
doom     TKAOPL
drake    TKRAEUBG
dram     TKRAPL
dream    TKRAOEPL
drum     TKRUPL
duck     TKUBG
duke     TKAOUBG
dumb     TKUPL
eke      AOEBG
fake     TPAEUBG
fame     TPAEUPL
film     TPEUPL
flake    TPHRAEUBG
flak     TPHRABG
flame    TPHRAEUPL
fleck    TPHREBG
fleek    TPHRAOEBG
flick    TPHREUBG
flock    TPHROBG
fluke    TPHRAOUBG
flume    TPHRAOUPL
foam     TPOEPL
folk     TPOEBG
frac     TPRABG
frame    TPRAEUPL
freak    TPRAOEBG
frik     TPREUBG
frock    TPROBG
from     TPROPL
fume     TPAOUPL
game     TKPWAEUPL
gawk     TKPWAUBG
geek     TKPWAOEBG
gem      SKWREPL
glam     TKPWHRAPL
gleam    TKPWHRAOEPL
gloam    TKPWHROEPL
glock    TKPWHROBG
glom     TKPWHROPL
gloom    TKPWHRAOPL
glum     TKPWHRUPL
gnome    TPHOEPL
gram     TKPWRAPL
grime    TKPWRAOEUPL
grim     TKPWREUPL
grok     TKPWROBG
groom    TKPWRAOPL
gum      TKPWUPL
gym      SKWREUPL
hack     HABG
ham      HAPL
hawk     HAUBG
heck     HEBG
hem      HEPL
hick     HEUBG
hike     HAOEUBG
him      HEUPL
hock     HOBG
home     HOEPL
hook     HAOBG
huck     HUBG
hum      HUPL
jack     SKWRABG
jam      SKWRAPL
jock     SKWROBG
joke     SKWROEBG
juke     SKWRAOUBG
kick     KEUBG
knack    TPHABG
knock    TPHOBG
lack     HRABG
lake     HRAEUBG
lamb     HRAPL
lame     HRAEUPL
lam      HRAEPL
leak     HRAEBG
leek     HRAOEBG
lick     HREUBG
like     HRAOEUBG
limb     HREUPL
lime     HRAOEUPL
loam     HROEPL
lock     HROBG
look     HRAOBG
loom     HRAOPL
luck     HRUBG
lume     HRAOUPL
mach     PHAUBG
mac      PHABG
maim     PHAEUPL
make     PHAEUBG
mech     PHEBG
meek     PHAOEBG
meme     PHAOEPL
mick     PHEUBG
mime     PHAOEUPL
mock     PHOBG
mom      PHOPL
mook     PHAOBG
muck     PHUBG
mum      PHUPL
name     TPHAEUPL
neck     TPHEBG
nick     TPHEUBG
nom      TPHOPL
nook     TPHAOBG
nuke     TPHAOUBG
numb     TPHUPL
oak      OEBG
ohm      OEPL
om       OPL
pack     PABG
palm     PAUPL
pam      PAPL
peak     PAEBG
peck     PEBG
peek     PAOEBG
pick     PEUBG
pike     PAOEUBG
plaque   PHRABG
pluck    PHRUBG
plume    PHRAOUPL
plum     PHRUPL
pock     POBG
poke     POEBG
pom      POPL
prick    PREUBG
prime    PRAOEUPL
prim     PREUPL
prom     PROPL
psalm    SAUPL
puke     PAOUBG
quack    KWABG
quake    KWAEUBG
qualm    KWAUPL
quem     KWEPL
quick    KWEUBG
rack     RABG
rake     RAEUBG
ram      RAPL
ream     RAOEPL
reek     RAOEBG
rhyme    RAOEUPL
rim      REUPL
roam     ROEPL
rock     ROBG
rom      ROPL
rook     RAOBG
room     RAOPL
rum      RUPL
sack     SABG
sake     SAEUBG
same     SAEUPL
sam      SAPL
scam     SKAPL
scheme   SKAOEPL
scram    SKRAPL
scream   SKRAOEPL
scrim    SKREUPL
scrum    SKRUPL
scum     SKUPL
seam     SAEPL
sec      SEBG
seek     SAOEBG
seem     SAOEPL
shack    SHABG
shake    SHAEUBG
shame    SHAEUPL
sham     SHAPL
shim     SHEUPL
shock    SHOBG
shook    SHAOBG
shroom   SHRAOPL
shuck    SHUBG
sick     SEUBG
sim      SEUPL
skim     SKEUPL
slack    SHRABG
slake    SHRAEUBG
slam     SHRAPL
sleek    SHRAOEBG
slick    SHREUBG
slime    SHRAOEUPL
slim     SHREUPL
slum     SHRUPL
smack    SPHABG
smock    SPHOBG
smoke    SPHOEBG
snack    STPHABG
snake    STPHAEUBG
sneak    STPHAOEBG
snick    STPHEUBG
snuck    STPHUBG
soak     SOEBG
sock     SOBG
some     SOPL
spam     SPAPL
speak    SPAOEBG
speck    SPEBG
spike    SPAOEUBG
spoke    SPOEBG
spook    SPAOBG
squawk   SKWAUBG
squeak   SKWAOEBG
stack    STABG
stalk    STAUBG
steak    STAEBG
steam    STAOEPL
stem     STEPL
stick    STEUBG
stim     STEUPL
stock    STOBG
stoke    STOEBG
streak   STRAOEBG
stream   STRAOEPL
strike   STRAOEUBG
stroke   STROEBG
struck   STRUBG
strum    STRUPL
stuck    STUBG
suck     SUBG
sum      SUPL
swam     SWAPL
swim     SWEUPL
swum     SWUPL
tack     TABG
take     TAEUBG
talk     TAUBG
tame     TAEUPL
tam      TAPL
teak     TAOEBG
team     TAEPL
tech     TEBG
teem     TAOEPL
theme    THAOEPL
them     THEPL
thick    THEUBG
thumb    THUPL
tick     TEUBG
time     TAOEUPL
tim      TEUPL
tock     TOBG
toke     TOEBG
tomb     TAOUPL
tom      TOPL
took     TAOBG
toque    TAOUBG
track    TRABG
tram     TRAPL
trek     TREBG
trick    TREUBG
trim     TREUPL
truck    TRUBG
tuck     TUBG
tweak    TWAOEBG
um       UPL
vac      SRABG
vim      SREUPL
wack     WABG
wake     WAEUBG
walk     WAUBG
weak     WAEBG
week     WAOEBG
wick     WEUBG
woke     WOEBG
wok      WOBG
woman    WOPL
womb     WAOUPL
wrack    WRABG
wreak    WRAOEBG
wreck    WREBG
yak      KWHABG
yam      KWHAPL
yike     KWHAOEUBG
yoke     KWHOEBG
yuck     KWHUBG
