amp     A*PL
auth    A*UT
bathe   PWA*EUT
bath    PWA*T
both    PWO*ET
broth   PWRO*T
calc    KA*LG
camp    KA*PL
champ   KHA*PL
chomp   KHO*PL
clamp   KHRA*PL
clomp   KHRO*PL
clothe  KHRO*ET
cloth   KHRO*T
comp    KO*PL
cramp   KRA*PL
damp    TKA*PL
doth    TKA*UT
faith   TPA*EUT
froth   TPRO*T
gramp   TKPWRA*PL
growth  TKPWRO*ET
hath    HA*T
lamp    HRA*PL
lathe   HRA*EUT
lath    HRA*T
loathe  HRO*ET
math    PHA*T
moth    PHO*T
mouth   PHO*UT
oath    O*ET
path    PA*T
pomp    PO*PL
ramp    RA*PL
romp    RO*PL
scamp   SKA*PL
scathe  SKA*EUT
sheath  SHA*ET
sloth   SHRO*T
south   SO*UT
swamp   SWA*UPL
swathe  SWA*UT
talc    TA*LG
tamp    TA*PL
tramp   TRA*PL
troth   TRO*T
vamp    SRA*PL
