brave   PWRAEUF
cave    KAEUF
chive   KHAOEUF
cleave  KHRAOEF
clove   KHROEF
crave   KRAEUF
dive    TKAOEUF
drive   TKRAOEUF
drove   TKROEF
eve     AOEF
fave    TPAEUF
five    TPAOEUF
gave    TKPWAEUF
give    TKPWEUF
glove   TKPWHROF
grave   TKPWRAEUF
groove  TKPWRAOF
grove   TKPWROEF
heave   HAOEF
hive    HAOEUF
jive    SKWRAOEUF
live    HREUF
love    HROF
move    PHAOUF
nave    TPHAEUF
pave    PAEUF
peeve   PAOEF
prove   PRAOUF
rave    RAEUF
rove    ROEF
scav    SKAF
shave   SHAEUF
shiv    SHEUF
shove   SHOF
sieve   SEUF
skeeve  SKAOEF
slave   SHRAEUF
sleeve  SHRAOEF
solve   SOF
stave   STAEUF
stove   STOEF
suave   SWAUF
thrive  THRAOEUF
trove   TROEF
weave   WAOEF
